ID;SUPPLIER;"CARRIER NAME";INVOICE;"INVOICE NUMBER";"READY DATE";"VALIDATION DATE";"SHIPPING QUOTE";"PACKING LIST";"CUSTOMS DOCS";TRACKING;STATUS;id_claim;"PICKING DATE";CARRIER;INCOTERM;ROUTE;FREIGHT;"CUSTOMS CLEAR";"IMPORT DUTIES";"DELIVERY DATE";COMMENTS
97;61;"SENT BY SUPPLIER";1376.55;F026823/F026726;2025-03-11;2025-03-11;;2;1;;3;;2025-03-11;21;DDP;LAND;0.00;0.00;0.00;2025-03-13;
101;13;UPS;783.00;INV-20430;2025-03-03;2025-03-03;;2;1;1Z72794R9113662719;3;;2025-03-05;19;EXW;LAND;2313.00;17.80;0.00;2025-03-13;
102;50;"SENT BY SUPPLIER";8629.29;32303222/32303221;2025-03-12;2025-03-12;;2;1;;3;;2025-03-12;21;DDP;LAND;0.00;0.00;0.00;2025-03-14;
103;25;UPS;17508.15;361315;2025-03-12;2025-03-12;359.96;2;1;1Z72794R8631998762;3;;2025-03-13;19;EXW;AIR;359.96;17.80;311.70;2025-03-18;
104;111;UPS;1086.31;"PTAL004/ PTAL005";2025-03-04;2025-03-05;342.16;1;1;1Z72794R8614023542;3;;2025-03-06;19;EXW;LAND;342.16;17.80;53.93;2025-03-14;
105;115;DBSCHENKER;39129.96;N;2025-02-20;2025-02-21;1395.00;1;1;2502OPOAI00463;3;;2025-02-28;4;EXW;AIR;1395.00;65.00;1198.76;2025-03-17;
106;68;UPS;5447.31;155063;2025-03-06;2025-03-11;333.20;0;0;1Z72794R8608862264;3;;2025-03-12;19;EXW;;333.20;17.80;93.83;2025-03-17;
107;27;"SENT BY SUPPLIER";5505.37;90322477;2025-03-15;2025-03-15;;0;0;;3;;2025-03-15;21;DDP;LAND;0.00;0.00;0.00;2025-03-14;
108;26;UPS;784.44;144775;2025-03-10;2025-03-10;40.93;2;1;1Z72794R9130821149;3;;2025-03-11;19;EXW;LAND;23.13;17.80;0.00;2025-03-17;
109;116;UPS;909.99;N;2025-01-06;2025-01-07;607.45;1;1;"1Z72794R8606158092  / 1Z72794R8619102288 / 1Z72794R8618886505";3;;2025-01-14;19;EXW;LAND;607.45;17.80;89.49;2025-01-17;
110;50;"SENT BY SUPPLIER";10845.05;32307125/32307124;2025-02-17;2025-02-17;;2;1;;3;;2025-02-17;21;DDP;LAND;0.00;0.00;0.00;2025-03-19;
113;84;DBSCHENKER;25609.93;2024;2024-01-20;2024-01-22;1881.63;1;1;2024;3;;2024-02-15;4;EXW;SEA_LCL;0.00;95.00;0.00;2024-06-21;
114;74;SCHENKER;23596.09;2024;2024-02-10;2024-02-12;1088.87;1;1;2024;3;;2024-02-19;14;EXW;SEA_LCL;1088.87;95.00;659.96;2024-06-05;
115;54;"ALL WAYS CARGO";51767.45;2024;2024-02-10;2024-02-12;4115.00;1;1;2024;3;;2024-02-27;2;EXW;SEA_FCL;41150.00;0.00;2195.08;2024-06-21;
