ID;SUPPLIER;"CARRIER NAME";INVOICE;"INVOICE NUMBER";"READY DATE";"VALIDATION DATE";"SHIPPING QUOTE";"PACKING LIST";"CUSTOMS DOCS";TRACKING;STATUS;id_claim;"PICKING DATE";CARRIER;INCOTERM;ROUTE;FREIGHT;"CUSTOMS CLEAR";"IMPORT DUTIES";"1º DELAY DATE";"2º DELAY DATE";"3º DELAY DATE";"4º DELAY DATE";"5º DELAY DATE";"DELIVERY DATE";COMMENTS
14;82;TORRESTIR;3644.44;911/912/913/914/915/916/917;2025-03-19;2025-03-19;94.00;1;1;25A018;2;;2025-03-21;17;EXW;LAND;94.00;0.00;0.00;"{""id"":108,""id_shipping"":14,""position"":0,""date"":""2025-04-09"",""created_at"":""2025-04-02T04:22:26.000000Z"",""updated_at"":""2025-04-02T04:22:26.000000Z""}";"{""id"":91,""id_shipping"":14,""position"":0,""date"":""2025-04-04"",""created_at"":""2025-03-31T04:37:29.000000Z"",""updated_at"":""2025-03-31T04:37:29.000000Z""}";"{""id"":89,""id_shipping"":14,""position"":0,""date"":""2025-04-02"",""created_at"":""2025-03-28T05:40:42.000000Z"",""updated_at"":""2025-03-28T05:40:42.000000Z""}";"{""id"":85,""id_shipping"":14,""position"":0,""date"":""2024-03-31"",""created_at"":""2025-03-28T01:34:14.000000Z"",""updated_at"":""2025-03-28T01:34:14.000000Z""}";"{""id"":82,""id_shipping"":14,""position"":0,""date"":""2025-03-28"",""created_at"":""2025-03-27T05:09:44.000000Z"",""updated_at"":""2025-03-27T05:09:44.000000Z""}";0000-00-00;
44;87;MAINFREIGHT;99852.61;24-07258;2024-12-12;2024-12-12;896.36;1;1;QTM08060;2;;2025-01-09;10;EXW;SEA_LCL;896.36;0.00;0.00;"{""id"":110,""id_shipping"":44,""position"":0,""date"":""2025-04-11"",""created_at"":""2025-04-03T09:32:54.000000Z"",""updated_at"":""2025-04-03T09:32:54.000000Z""}";"{""id"":81,""id_shipping"":44,""position"":0,""date"":""2025-04-14"",""created_at"":""2025-03-27T12:39:11.000000Z"",""updated_at"":""2025-03-27T12:39:11.000000Z""}";"{""id"":8,""id_shipping"":44,""position"":0,""date"":""2025-04-25"",""created_at"":""2025-03-19T10:43:04.000000Z"",""updated_at"":""2025-03-19T10:43:04.000000Z""}";"{""id"":6,""id_shipping"":44,""position"":0,""date"":""2025-04-25"",""created_at"":""2025-03-19T09:34:58.000000Z"",""updated_at"":""2025-03-19T09:34:58.000000Z""}";;0000-00-00;
45;113;MAINFREIGHT;13671.19;ASK25-001;2024-11-27;2024-12-11;1344.54;1;1;QTM08060;2;;2025-01-09;10;EXW;SEA_LCL;1344.54;0.00;0.00;"{""id"":111,""id_shipping"":45,""position"":0,""date"":""2025-04-11"",""created_at"":""2025-04-03T09:09:55.000000Z"",""updated_at"":""2025-04-03T09:09:55.000000Z""}";"{""id"":80,""id_shipping"":45,""position"":0,""date"":""2025-04-14"",""created_at"":""2025-03-27T12:12:11.000000Z"",""updated_at"":""2025-03-27T12:12:11.000000Z""}";"{""id"":9,""id_shipping"":45,""position"":0,""date"":""2025-04-25"",""created_at"":""2025-03-19T10:06:05.000000Z"",""updated_at"":""2025-03-19T10:06:05.000000Z""}";"{""id"":7,""id_shipping"":45,""position"":0,""date"":""2025-04-25"",""created_at"":""2025-03-19T10:43:03.000000Z"",""updated_at"":""2025-03-19T10:43:03.000000Z""}";;0000-00-00;
48;56;TRANSITEX;69516.00;24PRP9004-3;2025-01-10;2025-01-11;4435.00;1;1;NBYK25011477;2;;2025-01-21;18;EXW;SEA_FCL;4435.00;0.00;0.00;"{""id"":76,""id_shipping"":48,""position"":0,""date"":""2025-04-21"",""created_at"":""2025-03-26T12:26:25.000000Z"",""updated_at"":""2025-03-26T12:26:25.000000Z""}";"{""id"":75,""id_shipping"":48,""position"":0,""date"":""2025-04-25"",""created_at"":""2025-03-26T12:46:24.000000Z"",""updated_at"":""2025-03-26T12:46:24.000000Z""}";"{""id"":50,""id_shipping"":48,""position"":0,""date"":""2025-04-15"",""created_at"":""2025-03-20T10:40:02.000000Z"",""updated_at"":""2025-03-20T10:40:02.000000Z""}";"{""id"":12,""id_shipping"":48,""position"":0,""date"":""2025-04-15"",""created_at"":""2025-03-19T10:18:21.000000Z"",""updated_at"":""2025-03-19T10:18:21.000000Z""}";;0000-00-00;
51;54;TRANSITEX;29927.00;G240705W;2025-01-10;2025-01-10;4643.00;1;1;NBYK25011476;2;;2025-01-21;18;EXW;SEA_FCL;4643.00;0.00;0.00;"{""id"":77,""id_shipping"":51,""position"":0,""date"":""2025-04-21"",""created_at"":""2025-03-26T12:17:26.000000Z"",""updated_at"":""2025-03-26T12:17:26.000000Z""}";"{""id"":14,""id_shipping"":51,""position"":0,""date"":""2025-04-15"",""created_at"":""2025-03-19T10:26:28.000000Z"",""updated_at"":""2025-03-19T10:26:28.000000Z""}";"{""id"":13,""id_shipping"":51,""position"":0,""date"":""2025-03-18"",""created_at"":""2025-03-19T10:49:26.000000Z"",""updated_at"":""2025-03-19T10:49:26.000000Z""}";;;0000-00-00;
55;17;"ALL WAYS CARGO";69930.00;#INV10121954;2025-01-17;;;0;0;TCLU7289629;2;;2025-01-17;2;DDP;SEA_FCL;0.00;0.00;0.00;"{""id"":72,""id_shipping"":55,""position"":0,""date"":""2024-04-15"",""created_at"":""2025-03-26T12:16:20.000000Z"",""updated_at"":""2025-03-26T12:16:20.000000Z""}";"{""id"":16,""id_shipping"":55,""position"":0,""date"":""2025-04-11"",""created_at"":""2025-03-19T10:24:42.000000Z"",""updated_at"":""2025-03-19T10:24:42.000000Z""}";"{""id"":15,""id_shipping"":55,""position"":0,""date"":""2025-03-20"",""created_at"":""2025-03-19T10:10:42.000000Z"",""updated_at"":""2025-03-19T10:10:42.000000Z""}";;;2025-03-20;
59;116;TRANSITEX;104570.43;2024LPTD1;2025-01-10;2025-01-10;6735.00;1;1;NBYK25011475;2;;2025-01-21;18;EXW;SEA_FCL;6735.00;0.00;0.00;"{""id"":73,""id_shipping"":59,""position"":0,""date"":""2024-05-07"",""created_at"":""2025-03-26T12:16:21.000000Z"",""updated_at"":""2025-03-26T12:16:21.000000Z""}";"{""id"":18,""id_shipping"":59,""position"":0,""date"":""2025-04-15"",""created_at"":""2025-03-19T10:53:47.000000Z"",""updated_at"":""2025-03-19T10:53:47.000000Z""}";"{""id"":17,""id_shipping"":59,""position"":0,""date"":""2025-03-18"",""created_at"":""2025-03-19T10:41:47.000000Z"",""updated_at"":""2025-03-19T10:41:47.000000Z""}";;;0000-00-00;
64;116;TRANSITEX;38880.75;2024LPTD1-20GP;2025-01-24;;4413.00;1;1;EGLV142500249515;2;;2025-02-12;18;EXW;SEA_FCL;4413.00;0.00;0.00;"{""id"":104,""id_shipping"":64,""position"":0,""date"":""2025-04-24"",""created_at"":""2025-04-02T11:03:45.000000Z"",""updated_at"":""2025-04-02T11:03:45.000000Z""}";"{""id"":19,""id_shipping"":64,""position"":0,""date"":""2025-04-15"",""created_at"":""2025-03-19T10:59:53.000000Z"",""updated_at"":""2025-03-19T10:59:53.000000Z""}";;;;0000-00-00;
68;84;MAINFREIGHT;19731.04;20241208-2-2;2025-02-17;2025-02-21;1605.00;1;1;17610052172;2;;2025-03-06;10;EXW;SEA_LCL;1605.00;0.00;0.00;"{""id"":20,""id_shipping"":68,""position"":0,""date"":""2025-05-20"",""created_at"":""2025-03-19T11:46:00.000000Z"",""updated_at"":""2025-03-19T11:46:00.000000Z""}";;;;;0000-00-00;
74;75;DHL;12732.00;250306(1483640);2025-02-21;2025-02-21;332.06;1;1;32250354;2;;2025-03-27;22;FOB;SEA_LCL;332.60;0.00;0.00;"{""id"":100,""id_shipping"":74,""position"":0,""date"":""2025-06-18"",""created_at"":""2025-04-02T11:58:37.000000Z"",""updated_at"":""2025-04-02T11:58:37.000000Z""}";"{""id"":21,""id_shipping"":74,""position"":0,""date"":""2025-05-28"",""created_at"":""2025-03-19T11:52:22.000000Z"",""updated_at"":""2025-03-19T11:52:22.000000Z""}";;;;0000-00-00;
75;87;DHL;9825.46;24-7258;2025-02-26;2025-02-21;642.30;1;1;32250358;2;;2025-03-21;22;FOB;SEA_LCL;642.30;0.00;0.00;"{""id"":101,""id_shipping"":75,""position"":0,""date"":""2025-06-18"",""created_at"":""2025-04-02T11:23:38.000000Z"",""updated_at"":""2025-04-02T11:23:38.000000Z""}";"{""id"":22,""id_shipping"":75,""position"":0,""date"":""2025-05-28"",""created_at"":""2025-03-19T11:36:27.000000Z"",""updated_at"":""2025-03-19T11:36:27.000000Z""}";;;;0000-00-00;
77;108;DHL;12713.00;20250320;2025-03-18;2024-02-21;998.00;1;1;32250359;2;;2025-03-27;22;FCA;SEA_LCL;998.00;0.00;0.00;"{""id"":102,""id_shipping"":77,""position"":0,""date"":""2025-06-18"",""created_at"":""2025-04-02T11:06:39.000000Z"",""updated_at"":""2025-04-02T11:06:39.000000Z""}";"{""id"":23,""id_shipping"":77,""position"":0,""date"":""2025-05-28"",""created_at"":""2025-03-19T11:07:41.000000Z"",""updated_at"":""2025-03-19T11:07:41.000000Z""}";;;;0000-00-00;
78;74;MAINFREIGHT;21265.80;ASD2024002-ARM;2025-02-19;2025-02-21;1300.00;1;1;TPE25030046;2;;2025-02-28;10;EXW;SEA_LCL;1300.00;0.00;0.00;"{""id"":24,""id_shipping"":78,""position"":0,""date"":""2025-05-07"",""created_at"":""2025-03-19T11:21:50.000000Z"",""updated_at"":""2025-03-19T11:21:50.000000Z""}";;;;;0000-00-00;
79;29;DHL;40322.06;237177;2025-02-25;2025-02-28;2013.00;1;1;LAX-00011423;2;;2025-03-10;22;EXW;SEA_LCL;2013.00;0.00;0.00;"{""id"":25,""id_shipping"":79,""position"":0,""date"":""2025-05-15"",""created_at"":""2025-03-19T11:31:56.000000Z"",""updated_at"":""2025-03-19T11:31:56.000000Z""}";;;;;0000-00-00;
80;113;DHL;13784.10;;2025-02-28;2025-02-28;962.00;1;1;S2501155712;2;;2025-03-12;22;EXW;SEA_LCL;0.00;0.00;0.00;"{""id"":103,""id_shipping"":80,""position"":0,""date"":""2025-06-16"",""created_at"":""2025-04-02T11:06:40.000000Z"",""updated_at"":""2025-04-02T11:06:40.000000Z""}";"{""id"":27,""id_shipping"":80,""position"":0,""date"":""2025-05-30"",""created_at"":""2025-03-19T01:17:19.000000Z"",""updated_at"":""2025-03-19T01:17:19.000000Z""}";;;;0000-00-00;
116;106;DHL;;240155;2025-03-26;2025-03-25;797.25;1;1;;2;;2025-04-03;22;EXW;SEA_LCL;0.00;0.00;0.00;"{""id"":66,""id_shipping"":116,""position"":0,""date"":""2025-06-25"",""created_at"":""2025-03-25T11:23:29.000000Z"",""updated_at"":""2025-03-25T11:23:29.000000Z""}";;;;;2025-06-25;
193;29;DHL;;240662;2025-03-31;2025-03-25;1960.00;1;1;;2;;2025-04-07;22;EXW;SEA_LCL;1895.00;65.00;0.00;"{""id"":62,""id_shipping"":193,""position"":0,""date"":""2024-06-25"",""created_at"":""2025-03-24T06:40:02.000000Z"",""updated_at"":""2025-03-24T06:40:02.000000Z""}";;;;;0000-00-00;
274;13;TNT;34168.20;INV-20610;2025-03-25;;569.12;1;1;122312135;2;;2025-03-27;16;EXW;LAND;569.12;5.00;0.00;"{""id"":71,""id_shipping"":274,""position"":0,""date"":""2025-04-03"",""created_at"":""2025-03-26T09:29:24.000000Z"",""updated_at"":""2025-03-26T09:29:24.000000Z""}";;;;;0000-00-00;"LIS 874557
122312135"
306;17;UPS;1021.35;SO34596;2025-03-26;2025-03-27;57.27;0;0;1Z72794R9105337498;2;;2025-03-28;19;EXW;LAND;39.47;17.80;0.00;"{""id"":107,""id_shipping"":306,""position"":0,""date"":""2025-04-04"",""created_at"":""2025-04-02T04:32:22.000000Z"",""updated_at"":""2025-04-02T04:32:22.000000Z""}";"{""id"":106,""id_shipping"":306,""position"":0,""date"":""2025-05-04"",""created_at"":""2025-04-02T04:15:22.000000Z"",""updated_at"":""2025-04-02T04:15:22.000000Z""}";"{""id"":92,""id_shipping"":306,""position"":0,""date"":""2025-04-03"",""created_at"":""2025-03-31T04:49:35.000000Z"",""updated_at"":""2025-03-31T04:49:35.000000Z""}";"{""id"":79,""id_shipping"":306,""position"":0,""date"":""2025-04-01"",""created_at"":""2025-03-27T10:12:16.000000Z"",""updated_at"":""2025-03-27T10:12:16.000000Z""}";;0000-00-00;
308;97;MAERSK;;NA;2025-04-07;2025-03-27;2340.92;0;0;252015211;2;;2025-04-10;9;EXW;SEA_LCL;2280.95;65.00;0.00;"{""id"":88,""id_shipping"":308,""position"":0,""date"":""2025-06-16"",""created_at"":""2025-03-28T04:44:06.000000Z"",""updated_at"":""2025-03-28T04:44:06.000000Z""}";"{""id"":87,""id_shipping"":308,""position"":0,""date"":""2024-04-16"",""created_at"":""2025-03-28T04:33:06.000000Z"",""updated_at"":""2025-03-28T04:33:06.000000Z""}";;;;2025-06-16;
320;49;UPS;974.00;145392;2025-03-27;2025-03-28;105.17;1;1;1Z72794R9120163110;2;;2025-03-28;19;EXW;LAND;87.37;17.80;0.00;"{""id"":96,""id_shipping"":320,""position"":0,""date"":""2025-04-04"",""created_at"":""2025-03-31T04:50:37.000000Z"",""updated_at"":""2025-03-31T04:50:37.000000Z""}";"{""id"":83,""id_shipping"":320,""position"":0,""date"":""2025-04-01"",""created_at"":""2025-03-28T09:21:47.000000Z"",""updated_at"":""2025-03-28T09:21:47.000000Z""}";;;;0000-00-00;29B2SGOG8M7
336;81;TORRESTIR;;VARIOUS;2025-03-31;2025-04-01;200.00;2;2;R336;2;;2025-04-03;17;EXW;LAND;200.00;0.00;0.00;"{""id"":97,""id_shipping"":336,""position"":0,""date"":""2025-04-10"",""created_at"":""2025-04-02T08:08:57.000000Z"",""updated_at"":""2025-04-02T08:08:57.000000Z""}";;;;;0000-00-00;"Note for stacking small pallet on largest"
338;77;UPS;;ID/240325;2025-04-02;2025-04-02;37.16;2;2;"1Z72794R8606008280 / 294358PA70L";2;;2025-04-03;19;EXW;LAND;19.36;17.80;0.00;"{""id"":99,""id_shipping"":338,""position"":0,""date"":""2025-04-08"",""created_at"":""2025-04-02T09:33:53.000000Z"",""updated_at"":""2025-04-02T09:33:53.000000Z""}";"{""id"":98,""id_shipping"":338,""position"":0,""date"":""2025-04-08"",""created_at"":""2025-04-02T09:25:53.000000Z"",""updated_at"":""2025-04-02T09:25:53.000000Z""}";;;;0000-00-00;
339;10;TORRESTIR;4571.20;F20250932/0871;2025-04-02;2025-04-03;103.00;2;0;;2;;2025-04-04;17;EXW;LAND;103.00;0.00;0.00;"{""id"":109,""id_shipping"":339,""position"":0,""date"":""2025-04-14"",""created_at"":""2025-04-03T08:34:36.000000Z"",""updated_at"":""2025-04-03T08:34:36.000000Z""}";;;;;0000-00-00;"Opening hours for collection:
05.30 – 15.30hours"
