AutoPolar;price;reference;width;height;depth;weight;name;
"AutoPolar";"228.330000";"PF04";"14.000000";"14.000000";"6.000000";"0.220000";"POLARFIS PF04 VAG 04-12";
"AutoPolar";"245.000000";"PF05";"14.000000";"14.000000";"6.000000";"0.220000";"POLARFIS PF05 MQB 12+";
