REFERENCE;QUANTITY;"WHOLESALE PRICE";TOTAL
SE10;1;193.488348;193.488348
ACSP1;10;4.1;41
AC-E46-FU;8;77.9;623.2
AC-FU-E36;7;36.9;258.3
AC-S2K-FU;6;24.6;147.6
RD3025;5;180.4902;902.451
SP1105BLK;4;164.041;656.164
SP1128WB;7;186.1236;1302.8652
SP6063BLK;2;141.5484;283.0968
FMDVK04D;3;73.2887628;219.8662884
FMDVSUB01;2;85.5051228;171.0102456
FMDVATSI-POL;3;127.0689384;381.2068152
FMDV004-POL;3;56.3738028;169.1214084
FMINTLFS-LS-BLA;1;332.8864128;332.8864128
AC-NC-FU;2;24.6;49.2
216BFWAOTSM;21;17.712;371.952
216BFWAOPSM;25;20.582;514.55
VIB-1458;40;0.287;11.48
RN09;2;143.6643936;287.3287872
ECA3015;1;116.4564;116.4564
SP2070P;1;149.2236;149.2236
EVO1206;6;202.663;1215.978
FMWRX301-ALL;2;94.4794488;188.9588976
216EVOWGAFRWB4.9-WO;6;91.84;551.04
216EVOAFRWB4.9-WO;3;91.84;275.52
MMAI-CLA45-14BK;19;217.382;4130.258
RN12;1;209.9240508;209.9240508
MMRAD-350Z-07;4;152.438;609.752
MMRAD-370Z-09;3;280.071;840.213
MMTS-S2K-00L;6;26.158;156.948
MMFAN-SWITCH;6;20.746;124.476
CTS-IT-105R;23;123;2829
FMDVK04SA-SIL;6;95.1090612;570.6543672
FMDV2A;2;103.0121064;206.0242128
FMDVA45A;2;95.1090612;190.2181224
FMDVST180A;2;117.2958504;234.5917008
FMDV14TSI-POL;1;38.9795856;38.9795856
FMBGFK6;2;24.1602012;48.3204024
FMPCVD1;12;46.986;563.832
SES1989TT;4;778.098;3112.392
CTS-HW-031;17;61.5;1045.5
CTS-IT-250;12;171.3718;2056.4616
CTS-IT-220R;23;135.3;3111.9
CTS-HW-030;9;45.0918;405.8262
CTS-IT-110;18;103.7218;1866.9924
CTS-HW-0090;9;81.1718;730.5462
CTS-HW-0151;11;90.1918;992.1098
CTS-IT-270R;15;142.2618;2133.927
CTS-HW-0099;4;90.1918;360.7672
FMINTMRS;1;412.5182856;412.5182856
MMRAD-E46-01;3;274.5606;823.6818
MMRAD-E36-92;12;138.908;1666.896
MMRAD-MUS4-15;2;259.776;519.552
CTS-IT-500;14;76.6618;1073.2652
MMRAD-GLF-94;11;128.084;1408.924
MMRAD-MK5-08;8;136.653;1093.224
MMRAD-GLF-99;18;136.653;2459.754
MMRAD-B4-90;7;136.653;956.571
MMRAD-BRZ-13;4;167.772;671.088
CTS-IT-280;9;69.7;627.3
MMRAD-R35-09;4;280.071;1120.284
MMRAD-MIA-99;22;124.476;2738.472
MMRAD-RX8-04;15;145.673;2185.095
MMRAD-240-89KA;6;128.084;768.504
MMRAD-CIV-02SI;3;136.653;409.959
