REFERENCE;QUANTITY;"WHOLESALE PRICE";TOTAL
SE10;1;203.4835576;203.4835576
FD43;1;135.8368868;135.8368868
ACSP1;50;4.1;205
AC-204-FU;3;39.36;118.08
AC-E46-FU;12;77.9;934.8
AC-FU-E36;13;36.9;479.7
AC-S2K-FU;8;24.6;196.8
FMBGFK2;3;22.8783116;68.6349348
RD3025;5;180.4902;902.451
SP1128WB;8;186.1236;1488.9888
FMDV14T;5;37.09943056;185.4971528
FMDVK04D;5;79.89126176;399.4563088
FMDVSUB01;5;89.92214136;449.6107068
FMDVATSI-P;2;120.93386568;241.86773136
FMDV004-P;3;60.27422136;180.82266408
FMINTLFS;1;350.08263936;350.08263936
216BFWAEBOSM;19;23.575;447.925
AC-NC-FU;7;24.6;172.2
216BFWAOTSM;26;17.712;460.512
216BFWAOPSM;21;20.582;432.222
VIB-1458;75;0.287;21.525
RN10;1;37.43544032;37.43544032
RN09;2;151.08580032;302.17160064
ECA3015;2;116.4564;232.9128
ESR371WB;2;138.5226;277.0452
SP2070P;4;149.2236;596.8944
EVO1206;6;202.663;1215.978
FMWRX301-A;4;72.62752136;290.51008544
216EVOWGAFRWB4.9-WO;2;91.84;183.68
216EVOAFRWB4.9-WO;6;91.84;551.04
MMAI-CLA45-14BK;24;177.1692;4252.0608
RN12;1;220.76829496;220.76829496
JSK-101-DD;42;162.69790232;6833.31189744
MMRAD-350Z-07;1;144.7136;144.7136
MMTS-S2K-00L;3;24.641;73.923
200001032;1;369.9594;369.9594
CTS-IT-105R;36;123;4428
200001076;1;414.8216;414.8216
500001014;1;217.054;217.054
FMDVK04SA;12;79.89126176;958.69514112
FMDV2A;2;108.33349968;216.66699936
FMDVA45A;3;90.51509976;271.54529928
FMDVST180A;2;120.93386568;241.86773136
FMDV14TSI;2;37.09943056;74.19886112
FMBGFK6;2;25.40826744;50.81653488
FMPCVD1;7;47.86162552;335.03137864
SES1989TT;5;778.098;3890.49
CTS-HW-031;15;61.5;922.5
CTS-IT-250;12;171.3718;2056.4616
CTS-IT-220R;9;135.3;1217.7
CTS-HW-030;11;45.0918;496.0098
CTS-IT-110;3;103.7218;311.1654
CTS-HW-0090;4;81.1718;324.6872
CTS-HW-0151;22;90.1918;1984.2196
CTS-IT-270R;2;142.2618;284.5236
CTS-HW-0099;5;90.1918;450.959
FMINTMRS;1;422.93746144;422.93746144
MMRAD-E46-01;6;274.5606;1647.3636
MMRAD-RSF-09;3;228.78;686.34
MMRAD-MUS4-15;1;236.5044;236.5044
CTS-IT-500;7;76.6618;536.6326
MMRAD-GLF-94;4;144.7136;578.8544
MMRAD-MK5-08;1;144.7136;144.7136
MMRAD-GLF-99;7;144.7218;1013.0526
MMRAD-B4-90;2;136.1856;272.3712
MMRAD-BRZ-13;4;131.487;525.948
CTS-IT-280;20;69.7;1394
MMRAD-R35-09;2;225.4098;450.8196
MMRAD-MIA-99;2;103.3118;206.6236
MMRAD-RX8-04;8;126.7966;1014.3728
MMRAD-240-89KA;3;111.4216;334.2648
MMRAD-CIV-02SI;3;114.4064;343.2192
MMRAD-INT-94;2;118.6868;237.3736
MMRAD-EVO-01;3;145.4352;436.3056
MMRAD-EVO-10;1;148.1576;148.1576
MMAI-350Z-03H;10;95.366;953.66
MMTS-S4-00L;3;24.6492;73.9476
MMTS-E90-07;6;29.0772;174.4632
MMTS-CIV-92L;1;23.6898;23.6898
MMTS-350Z-03L;3;24.64674;73.94022
MMTS-350Z-07;3;24.6492;73.9476
MMTS-WRX-01;2;28.7574;57.5148
MMTS-GTR-09;1;41.8364;41.8364
MMTS-BRZ-13;2;22.55;45.1
MMTS-RX8-04L;8;25.1412;201.1296
MMTS-RSX-02;2;24.6;49.2
MMTS-VR6-93L;3;24.641;73.923
MMTS-EVO-01;3;23.6898;71.0694
MMTS-FIST-14;4;24.6492;98.5968
CTS-CC-MK5FSI;4;213.1918;852.7672
MMDP-MUS4-15CAT;2;238.0952;476.1904
216EVOEOP-RB;2;37.597;75.194
216EVOOT-RB;5;22.55;112.75
216EVOWT-C;4;22.55;90.2
CTS-HS-150;4;12.3;49.2
CTS-IT-285;5;39.3518;196.759
CTS-SIL-NOISE;2;13.5218;27.0436
CTS-IT-600;8;69.7;557.6
CTS-IT-275;17;90.1918;1533.2606
CTS-IT-210;9;90.1918;811.7262
"CTS-HW-036 ARP";3;77.0718;231.2154
CTS-HW-0199;7;36.0718;252.5026
MMOC-E46-01;6;364.777;2188.662
FMMK5FMIC;6;394.44581032;2366.67486192
FMINT32;4;421.5440092;1686.1760368
FMINDST180;5;93.02529032;465.1264516
FMIND05;3;135.92583056;407.77749168
216EVOEGT;14;42.927;600.978
MMOC-MIA-99T;1;192.9624;192.9624
MMOC-EVO-08;2;268.7796;537.5592
AC-MK4-FU;1;32.8;32.8
MMBCC-N54-06CBE2;2;97.5144;195.0288
EVO9200;7;167.2718;1170.9026
EVO300E;8;174.6272;1397.0176
MMBCC-FIST-14PBE;4;87.8712;351.4848
MMBCC-FOST-13PBE2;2;91.6596;183.3192
MMBCC-MUS4-15PBE;4;74.9234;299.6936
MMBCC-BRZ-13PBE;5;89.6506;448.253
MMBCC-STI-08SBE;1;201.146;201.146
MMHOSE-MIA-90HHBK;2;28.5606;57.1212
MMHOSE-MIA-94HHBK;2;31.21822;62.43644
216BFWAWTSM;14;17.712;247.968
216BFWAVOSM;20;16.236;324.72
216BFWGEBOSM;4;24.887;99.548
216BFWGOPSM;6;21.894;131.364
216BFWGOTSM;6;19.065;114.39
MMHOSE-R35-09BK;1;43.0336;43.0336
FMBGFK3;4;25.0524924;100.2099696
FMDVRMR;2;83.35018576;166.70037152
MMRAD-K20-EK;1;145.2384;145.2384
MMRAD-K20-EG;2;130.4128;260.8256
FMDVCS14A;3;79.89126176;239.67378528
FMBM335DV1;2;216.923948;433.847896
CTS-HW-028;8;45.0918;360.7344
CTS-HW-049;2;14.7518;29.5036
JSK-118;1;214.07774768;214.07774768
S-RE/T/1;1;1424.4712;1424.4712
E-BM/T/3;1;1266.0554;1266.0554
TP-CT/26;1;903.4432;903.4432
M-BM/T/8H;1;2014.0758;2014.0758
FMINTRM;1;269.23276152;269.23276152
CTS-EXH-DP-0007;3;360.7918;1082.3754
FMINTRS3;1;698.0108632;698.0108632
FMINT2TTRS;1;698.0108632;698.0108632
FMINTTTS;1;339.87387224;339.87387224
FMINT135F20;1;387.57737552;387.57737552
FMINTBM;1;363.94798328;363.94798328
FMINTR56;1;328.72625432;328.72625432
FMRADRS250;1;704.57293616;704.57293616
MMFS-S2K-00;2;85.3128;170.6256
MMFS-MIA-90;4;104.9026;419.6104
MMFS-MIA-99;1;96.9076;96.9076
MMFS-RX8-04;3;96.9076;290.7228
PF04;82;109.06;8942.92
CTS-EXH-DP-0008;1;135.3;135.3
SES1987TT;7;779.4756;5456.3292
Evo1102;9;354.7976;3193.1784
SES9001TT;2;550.589;1101.178
10.127.100K;33;153.3154;5059.4082
MMEXH-WRX-15;2;499.872;999.744
MMRAD-FIST-14K;2;257.4226;514.8452
MMRAD-FOST-13;1;221.9904;221.9904
CTS-HW-0133;2;72.1518;144.3036
MMBCC-RS-16PBE2;3;99.4414;298.3242
CTS-HW-118;2;22.1318;44.2636
TTE80;1;54.571;54.571
FMMD1;2;68.190216;136.380432
CTS-CPA-001;7;28.7;200.9
EVO1801;2;164.9758;329.9516
SES1230TT;3;614.016;1842.048
EVO2001;4;167.2718;669.0872
FMMD2;3;56.9240064;170.7720192
MMFS-CIV-92;1;71.2908;71.2908
MMFS-WRX-01P;3;130.2078;390.6234
MMFS-S14-95SR;2;94.9724;189.9448
MMFS-EVO-01;5;96.9076;484.538
MMFS-B4-90;4;96.9076;387.6304
MMFS-BRZ-13P;2;135.3328;270.6656
MMFS-240-89KA;1;96.9076;96.9076
MMEXH-MUS4-15;1;444.4154;444.4154
FMCCRADS53T;2;484.24936;968.49872
MMFS-STI-08P;1;105.8784;105.8784
MMFS-350Z-03;4;95.6284;382.5136
MMFS-EVO-10;1;96.9076;96.9076
FMBGFK4;2;22.49288864;44.98577728
FMMD3;2;74.90052856;149.80105712
VWR12G6GT;6;161.22538896;967.35233376
VWR12G7R600ITINLET;57;67.9925632;3875.5761024
MMOP-TPS;16;29.1674;466.6784
VWR12G5GT;2;225.97644624;451.95289248
005001005;3;398.6266;1195.8798
VWR12L0CR;2;245.40571648;490.81143296
VWR12G60R;10;238.93258728;2389.3258728
FMSCPS53T;4;103.72818944;414.91275776
FMDVV4010;2;63.70349744;127.40699488
VWR160001;92;58.27792808;5361.56938336
VWR31G5GT;3;117.9987216;353.9961648
VWR31G60R;2;117.9987216;235.9974432
VWR31G7GT;27;106.23838;2868.43626
VWR31G70R;10;106.23838;1062.3838
VWR31S000;5;117.9987216;589.993608
VWR19G701;17;32.37552864;550.38398688
VWR19G702;18;32.37552864;582.75951552
VWR12P0GT;4;173.52927576;694.11710304
VWR1230S3;8;251.87884568;2015.03076544
11002BK;411;1.9762;812.2182
MMGP-RS-16BK;3;39.7044;119.1132
VWR11G502;4;32.37552864;129.50211456
VWR11G503;2;32.37552864;64.75105728
VWR11P1GT;3;49.10683816;147.32051448
VWR11P0GT;3;55.90609448;167.71828344
VWR11G501;3;32.37552864;97.12658592
VWR11G701;4;38.84865784;155.39463136
VWR1140S4;2;59.68126296;119.36252592
VWR12PRWRC;2;412.78799016;825.57598032
VWR12G6K03;1;225.97644624;225.97644624
VWR121020;1;286.30996344;286.30996344
FMBGFK7;2;20.53612592;41.07225184
VWR69G7KIT;12;71.22418648;854.69023776
VWR15G503;5;111.53547504;557.6773752
VWR15G502;1;173.21303128;173.21303128
VWR15G501;2;173.21303128;346.42606256
MMTS-240-89KA;4;24.6492;98.5968
MMSTB-FIST-14TB;1;72.8242;72.8242
MMSTB-MUS-15;2;89.6506;179.3012
MMSK-TUE-16;2;27.388;54.776
MMSK-RKST;1;34.2022;34.2022
MMSK-PGR-BK;3;39.3354;118.0062
