REFERENCE;QUANTITY;"WHOLESALE PRICE";TOTAL
ACSP1;4;4.1;16.4
AC-E46-FU;6;77.9;467.4
AC-S2K-FU;3;24.6;73.8
FMBGFK2;2;27.9307047;55.8614094
RD3025;5;180.4902;902.451
SP1105BLK;4;164.041;656.164
SP1128WB;6;186.1236;1116.7416
FMDV14T-POL;3;36.48302098;109.44906294
SP6063BLK;2;141.5484;283.0968
FMDVK04D;1;72.97539898;72.97539898
FMDVSUB01;2;85.13952498;170.27904996
FMDVATSI-POL;2;126.52562444;253.05124888
FMDV004-POL;1;54.72920998;54.72920998
FMINTLFS-LS-BLA;1;331.46307648;331.46307648
AC-NC-FU;1;24.6;24.6
216BFWAOTSM;16;17.712;283.392
216BFWAOPSM;23;20.582;473.386
VIB-1458;38;0.287;10.906
RN09;2;143.05012176;286.10024352
ECA3015;1;116.4564;116.4564
SP2070P;1;149.2236;149.2236
EVO1206;6;202.663;1215.978
FMWRX301-ALL;2;94.07547908;188.15095816
216EVOWGAFRWB4.9-WO;6;91.84;551.04
216EVOAFRWB4.9-WO;1;91.84;91.84
MMAI-CLA45-14BK;20;217.382;4347.64
MMRAD-350Z-07;3;152.438;457.314
MMRAD-370Z-09;3;280.071;840.213
MMTS-S2K-00L;3;26.158;78.474
MMFAN-SWITCH;4;20.746;82.984
CTS-IT-105R;3;123;369
FMDVK04SA-SIL;8;83.58625966;668.69007728
FMDV2A;2;102.57165324;205.14330648
FMDVA45A;2;94.70239942;189.40479884
FMDVST180A;2;116.79432364;233.58864728
FMDV14TSI-POL;3;38.81291896;116.43875688
FMBGFK6;2;24.05689842;48.11379684
FMPCVD1;9;50.67762032;456.09858288
SES1989TT;4;778.098;3112.392
CTS-HW-031;11;61.5;676.5
CTS-IT-250;5;171.3718;856.859
CTS-IT-220R;22;135.3;2976.6
CTS-HW-030;9;45.0918;405.8262
CTS-IT-110;14;103.7218;1452.1052
CTS-HW-0090;7;81.1718;568.2026
CTS-HW-0151;9;90.1918;811.7262
CTS-IT-270R;6;142.2618;853.5708
CTS-HW-0099;4;90.1918;360.7672
FMINTMRS;1;410.75446396;410.75446396
MMRAD-E46-01;3;274.5606;823.6818
MMRAD-E36-92;10;138.908;1389.08
MMRAD-MUS4-15;2;259.776;519.552
CTS-IT-500;3;76.6618;229.9854
MMRAD-GLF-94;10;128.084;1280.84
MMRAD-MK5-08;8;136.653;1093.224
MMRAD-GLF-99;23;136.653;3143.019
MMRAD-B4-90;7;136.653;956.571
MMRAD-BRZ-13;1;167.772;167.772
CTS-IT-280;9;69.7;627.3
MMRAD-R35-09;3;280.071;840.213
MMRAD-MIA-99;20;124.476;2489.52
MMRAD-RX8-04;13;145.673;1893.749
MMRAD-240-89KA;8;128.084;1024.672
MMRAD-CIV-02SI;4;136.653;546.612
MMRAD-INT-94;1;128.084;128.084
MMRAD-EVO-01;7;144.32;1010.24
MMRAD-EVO-10;3;136.653;409.959
MMAI-350Z-03H;11;106.887;1175.757
CTS-CC-MK6TSI;1;266.4918;266.4918
MMTS-S4-00L;6;26.158;156.948
MMTS-E90-07;29;32.021;928.609
MMTS-350Z-03L;6;25.1412;150.8472
MMTS-350Z-07;5;33.825;169.125
MMTS-WRX-01;6;24.805;148.83
MMTS-GTR-09;5;51.414;257.07
MMTS-BRZ-13;2;26.158;52.316
MMTS-RX8-04L;4;25.1412;100.5648
MMTS-VR6-93L;7;26.158;183.106
MMTS-EVO-01;5;26.158;130.79
MMTS-FIST-14;3;26.158;78.474
CTS-CC-GOLFR;8;196.7918;1574.3344
CTS-CC-MK5FSI;3;213.1918;639.5754
216EVOEOP-RB;10;37.597;375.97
216EVOWT-C;1;22.55;22.55
CTS-20T-MK5-DF;4;328;1312
CTS-HS-150;3;12.3;36.9
CTS-IT-285;22;39.3518;865.7396
CTS-HW-003;2;29.5118;59.0236
CTS-IT-600;8;69.7;557.6
CTS-IT-275;5;90.1918;450.959
CTS-IT-210;7;90.1918;631.3426
"CTS-HW-036 ARP";16;77.0718;1233.1488
CTS-HW-0199;9;36.0718;324.6462
MMOC-E46-01;3;364.777;1094.331
FMMK5FMIC-BLA;6;380.93364122;2285.60184732
FMINT32;7;407.10522616;2849.73658312
FMINDST180;3;88.07762926;264.23288778
FMIND05;3;128.69645308;386.08935924
216EVOEGT;14;42.927;600.978
MMOC-MIA-99T;1;192.9624;192.9624
MMOC-EVO-08;2;268.7796;537.5592
MMBCC-N54-06CBE2;7;96.514;675.598
EVO9200;2;167.2718;334.5436
EVO300E;6;174.6272;1047.7632
MMBCC-FIST-14PBE;4;103.73;414.92
MMBCC-FOST-13PBE2;3;97.416;292.248
MMBCC-MUS4-15PBE;2;93.357;186.714
MMBCC-BRZ-13PBE;6;103.73;622.38
CTS-IT-020;3;69.7;209.1
MMHOSE-MIA-90HHBK;2;28.5606;57.1212
MMHOSE-MIA-94HHBK;2;31.21822;62.43644
216BFWAWTSM;14;17.712;247.968
216BFWAVOSM;15;16.236;243.54
216BFWGEBOSM;3;24.887;74.661
216BFWGOPSM;4;21.894;87.576
216BFWGOTSM;5;19.065;95.325
MMHOSE-R35-09BK;3;63.591;190.773
FMBGFK3;4;23.7200457;94.8801828
FMDVRMR;2;76.01643048;152.03286096
MMRAD-K20-EK;2;160.556;321.112
MMRAD-K20-EG;1;130.4128;130.4128
FMDVCS14A;2;66.89333598;133.78667196
FMBM335DV1-BLA-BLA;1;243.27316298;243.27316298
CTS-HW-028;3;45.0918;135.2754
CTS-HW-049;3;14.7518;44.2554
S-RE/T/1;1;1424.4712;1424.4712
CTS-EXH-DP-0007;2;360.7918;721.5836
FMINTTTS;1;321.79727482;321.79727482
FMINT135F20;1;366.96361036;366.96361036
FMINTR56-ALL;1;311.24255626;311.24255626
