REFERENCE;QUANTITY;"WHOLESALE PRICE";TOTAL
SE10;1;200.7821496;200.7821496
FD43;1;134.0335428;134.0335428
ACSP1;57;4.1;233.7
AC-204-FU;7;39.36;275.52
AC-E46-FU;13;77.9;1012.7
AC-FU-E36;14;36.9;516.6
AC-S2K-FU;9;24.6;221.4
FMBGFK2;3;22.5745836;67.7237508
AC-HD1-FU;1;18.86;18.86
RD3025;5;180.4902;902.451
SP1128WB;9;186.1236;1675.1124
FMDV14T;8;36.60690576;292.85524608
FMDVK04D;5;78.83064096;394.1532048
FMDVSUB01;5;88.72835256;443.6417628
FMDVATSI-P;2;119.32837128;238.65674256
FMDV004-P;2;59.47403256;118.94806512
FMINTLFS;1;345.43501056;345.43501056
216BFWAEBOSM;20;23.575;471.5
AC-NC-FU;8;24.6;196.8
216BFWAOTSM;28;17.712;495.936
216BFWAOPSM;26;20.582;535.132
VIB-1458;82;0.287;23.534
RN10;2;36.93845472;73.87690944
RN09;2;149.08001472;298.16002944
ECA3015;3;116.4564;349.3692
ESR371WB;2;138.5226;277.0452
SP2070P;4;149.2236;596.8944
EVO1206;6;202.663;1215.978
FMWRX301-A;4;71.66333256;286.65333024
216EVOWGAFRWB4.9-WO;4;91.84;367.36
216EVOAFRWB4.9-WO;6;91.84;551.04
MMAI-CLA45-14BK;34;177.1692;6023.7528
RN12;1;217.83741816;217.83741816
JSK-101-DD;14;160.53795672;2247.53139408
MMRAD-350Z-07;1;141.8846;141.8846
MMRAD-370Z-09;2;231.732;463.464
MMTS-S2K-00L;3;24.641;73.923
MMFAN-SWITCH;1;14.6042;14.6042
200001032;1;369.9594;369.9594
CTS-IT-105R;33;123;4059
200001076;1;414.8216;414.8216
500001010;1;408.2698;408.2698
500001014;1;217.054;217.054
FMDVK04SA;15;78.83064096;1182.4596144
FMDV2A;2;106.89528528;213.79057056
FMDVA45A;2;63.38436;126.76872
FMDVST180A;2;119.32837128;238.65674256
FMDV14TSI;2;36.60690576;73.21381152
FMBGFK6;2;25.07095224;50.14190448
FMPCVD1;8;47.22622392;377.80979136
SES1989TT;5;778.098;3890.49
CTS-HW-031;16;61.5;984
CTS-IT-250;10;171.3718;1713.718
CTS-IT-220R;16;135.3;2164.8
CTS-HW-030;11;45.0918;496.0098
CTS-IT-110;2;103.7218;207.4436
CTS-HW-0090;5;81.1718;405.859
CTS-HW-0151;29;90.1918;2615.5622
CTS-IT-270R;17;142.2618;2418.4506
CTS-HW-0099;3;90.1918;270.5754
FMINTMRS;1;417.32262624;417.32262624
MMRAD-E46-01;6;274.5606;1647.3636
MMRAD-E36-92;5;117.8258;589.129
MMRAD-RSF-09;3;228.78;686.34
MMRAD-MUS4-15;1;236.5044;236.5044
CTS-IT-500;10;76.6618;766.618
MMRAD-GLF-94;7;144.7136;1012.9952
MMRAD-MK5-08;4;144.7136;578.8544
MMRAD-GLF-99;8;144.7218;1157.7744
MMRAD-B4-90;5;136.1856;680.928
