REFERENCE;QUANTITY;"WHOLESALE PRICE";TOTAL
ACSP1;6;4.1;24.6
AC-E46-FU;7;77.9;545.3
AC-FU-E36;3;36.9;110.7
AC-S2K-FU;4;24.6;98.4
RD3025;5;180.4902;902.451
SP1105BLK;4;164.041;656.164
SP1128WB;7;186.1236;1302.8652
SP6063BLK;2;141.5484;283.0968
FMDVSUB01;2;84.73662126;169.47324252
FMDVATSI-POL;2;125.92687028;251.85374056
FMINTLFS-LS-BLA;1;329.89450176;329.89450176
AC-NC-FU;2;24.6;49.2
216BFWAOTSM;17;17.712;301.104
216BFWAOPSM;24;20.582;493.968
VIB-1458;39;0.287;11.193
RN09;2;142.37316912;284.74633824
ECA3015;1;116.4564;116.4564
SP2070P;1;149.2236;149.2236
EVO1206;6;202.663;1215.978
FMWRX301-ALL;1;93.63028796;93.63028796
216EVOWGAFRWB4.9-WO;6;91.84;551.04
216EVOAFRWB4.9-WO;2;91.84;183.68
MMAI-CLA45-14BK;15;217.382;3260.73
MMRAD-350Z-07;4;152.438;609.752
MMRAD-370Z-09;3;280.071;840.213
MMTS-S2K-00L;3;26.158;78.474
MMFAN-SWITCH;4;20.746;82.984
CTS-IT-105R;11;123;1353
FMDVK04SA-SIL;6;83.19070642;499.14423852
FMDV2A;2;102.08625588;204.17251176
FMDVA45A;3;94.25424154;282.76272462
FMDVST180A;2;116.24162068;232.48324136
FMDV14TSI-POL;3;38.62924552;115.88773656
FMBGFK6;2;23.94305454;47.88610908
FMPCVD1;6;50.43779984;302.62679904
SES1989TT;4;778.098;3112.392
CTS-HW-031;14;61.5;861
CTS-IT-250;10;171.3718;1713.718
CTS-IT-220R;17;135.3;2300.1
CTS-HW-030;9;45.0918;405.8262
CTS-IT-110;16;103.7218;1659.5488
CTS-HW-0090;8;81.1718;649.3744
CTS-HW-0151;11;90.1918;992.1098
CTS-IT-270R;9;142.2618;1280.3562
CTS-HW-0099;4;90.1918;360.7672
FMINTMRS;1;408.81066052;408.81066052
MMRAD-E46-01;3;274.5606;823.6818
MMRAD-E36-92;7;138.908;972.356
MMRAD-MUS4-15;2;259.776;519.552
CTS-IT-500;9;76.6618;689.9562
MMRAD-GLF-94;11;128.084;1408.924
MMRAD-MK5-08;8;136.653;1093.224
MMRAD-GLF-99;12;136.653;1639.836
MMRAD-B4-90;7;136.653;956.571
MMRAD-BRZ-13;3;167.772;503.316
CTS-IT-280;9;69.7;627.3
MMRAD-R35-09;3;280.071;840.213
MMRAD-MIA-99;21;124.476;2613.996
MMRAD-RX8-04;14;145.673;2039.422
MMRAD-240-89KA;5;128.084;640.42
MMRAD-CIV-02SI;3;136.653;409.959
MMRAD-EVO-01;8;144.32;1154.56
MMRAD-EVO-10;1;136.653;136.653
MMAI-350Z-03H;2;106.887;213.774
MMTS-S4-00L;7;26.158;183.106
MMTS-E90-07;15;32.021;480.315
MMTS-CIV-92L;2;24.805;49.61
MMTS-350Z-03L;2;25.1412;50.2824
MMTS-350Z-07;5;33.825;169.125
MMTS-WRX-01;6;24.805;148.83
MMTS-GTR-09;5;51.414;257.07
MMTS-BRZ-13;2;26.158;52.316
MMTS-RX8-04L;4;25.1412;100.5648
MMTS-VR6-93L;7;26.158;183.106
MMTS-EVO-01;5;26.158;130.79
MMTS-FIST-14;4;26.158;104.632
CTS-CC-GOLFR;4;196.7918;787.1672
CTS-CC-MK5FSI;3;213.1918;639.5754
216EVOEOP-RB;10;37.597;375.97
216EVOWT-C;1;22.55;22.55
CTS-20T-MK5-DF;4;328;1312
CTS-IT-285;24;39.3518;944.4432
CTS-HW-003;2;29.5118;59.0236
CTS-IT-600;3;69.7;209.1
CTS-IT-275;6;90.1918;541.1508
CTS-IT-210;8;90.1918;721.5344
"CTS-HW-036 ARP";7;77.0718;539.5026
CTS-HW-0199;9;36.0718;324.6462
MMOC-E46-01;3;364.777;1094.331
FMMK5FMIC-BLA;6;379.13095814;2274.78574884
FMINT32;3;405.17869192;1215.53607576
FMINDST180;3;87.66082162;262.98246486
FMIND05;3;128.08742596;384.26227788
216EVOEGT;14;42.927;600.978
MMOC-MIA-99T;1;192.9624;192.9624
MMOC-EVO-08;2;268.7796;537.5592
MMBCC-N54-06CBE2;6;96.514;579.084
EVO9200;2;167.2718;334.5436
EVO300E;6;174.6272;1047.7632
MMBCC-FOST-13PBE2;1;97.416;97.416
MMBCC-MUS4-15PBE;3;93.357;280.071
MMBCC-BRZ-13PBE;6;103.73;622.38
CTS-IT-020;4;69.7;278.8
MMHOSE-MIA-90HHBK;2;28.5606;57.1212
MMHOSE-MIA-94HHBK;2;31.21822;62.43644
216BFWAWTSM;16;17.712;283.392
216BFWAVOSM;15;16.236;243.54
216BFWGEBOSM;4;24.887;99.548
216BFWGOPSM;4;21.894;87.576
216BFWGOTSM;5;19.065;95.325
MMHOSE-R35-09BK;3;63.591;190.773
FMBGFK3;4;23.6077959;94.4311836
FMDVRMR;2;75.65669976;151.31339952
MMRAD-K20-EK;2;160.556;321.112
MMRAD-K20-EG;2;130.4128;260.8256
FMDVCS14A;3;66.57677826;199.73033478
FMBM335DV1-BLA-BLA;2;242.12192726;484.24385452
CTS-HW-028;3;45.0918;135.2754
CTS-HW-049;3;14.7518;44.2554
S-RE/T/1;1;1424.4712;1424.4712
E-BM/T/3;1;1266.0554;1266.0554
CTS-EXH-DP-0007;2;360.7918;721.5836
FMINTTTS;1;320.27444134;320.27444134
FMINT135F20;1;365.22703732;365.22703732
FMINTR56-ALL;1;309.76967062;309.76967062
FMINTMF56;2;278.94450122;557.88900244
MMFS-S2K-00;1;97.416;97.416
MMFS-INT-94;2;97.416;194.832
MMFS-MIA-90;3;104.9026;314.7078
MMFS-MIA-99;7;97.416;681.912
MMFS-RX8-04;8;97.416;779.328
PF04;45;107.42;4833.9
CTS-EXH-DP-0008;2;135.3;270.6
SES1987TT;7;779.4756;5456.3292
Evo1102;8;354.7976;2838.3808
SES9001TT;2;550.589;1101.178
10.127.100K;23;153.3154;3526.2542
MMEXH-WRX-15;1;499.872;499.872
MMRAD-FIST-14K;1;280.071;280.071
MMRAD-FOST-13;4;263.384;1053.536
CTS-IT-190;3;123;369
CTS-HW-0133;4;72.1518;288.6072
MMBCC-RS-16PBE2;1;114.103;114.103
AC-200-OSA;14;13.817;193.438
MMTS-GTI-99;19;26.158;497.002
CTS-HW-262;15;103.7218;1555.827
CTS-HW-118;2;22.1318;44.2636
TTE80;1;54.571;54.571
FMMD1;4;60.52349726;242.09398904
EVO1801;1;164.9758;164.9758
SES1230TT;3;614.016;1842.048
EVO2001;1;167.2718;167.2718
FMMD2;5;59.2755901;296.3779505
MMFS-CIV-92;7;72.611;508.277
MMFS-WRX-01P;4;118.162;472.648
MMFS-S14-95SR;6;97.416;584.496
MMFS-EVO-01;4;96.9076;387.6304
MMFS-B4-90;7;96.9076;678.3532
MMFS-BRZ-13P;3;145.222;435.666
MMFS-240-89KA;8;97.416;779.328
MMEXH-MUS4-15;4;444.4154;1777.6616
FMCCRADS53T;1;456.32426;456.32426
MMFS-STI-08P;3;127.182;381.546
MMFS-350Z-03;4;112.75;451
MMFS-EVO-10;3;96.9076;290.7228
FMBGFK4;2;21.19579624;42.39159248
FMMD3;1;70.58125646;70.58125646
VWR12G6GT;7;151.92804036;1063.49628252
VWR12G7R600ITINLET;30;64.0716512;1922.149536
MMOP-TPS;8;28.413;227.304
VWR12G5GT;8;212.94511284;1703.56090272
005001005;1;398.6266;398.6266
VWR12G60R;7;225.15411498;1576.07880486
FMSCPS53T;3;108.00915852;324.02747556
FMDVV4010-POL;2;60.02992204;120.05984408
VWR160001;56;54.91722778;3075.36475568
VWR31G5GT;1;111.1941156;111.1941156
VWR31G60R;1;111.1941156;111.1941156
VWR31G7GT;11;120.12503326;1321.37536586
VWR31G70R;4;120.12503326;480.50013304
VWR31S000;2;111.1941156;222.3882312
VWR19G701;18;30.50853624;549.15365232
VWR19G702;13;36.60838094;475.90895222
VWR12P0GT;3;163.52240166;490.56720498
VWR1230S3;4;237.35380438;949.41521752
11002BK;384;1.9762;758.8608
MMGP-RS-16BK;2;39.7044;79.4088
VWR11G502;2;30.50853624;61.01707248
VWR11G503;2;30.50853624;61.01707248
VWR11P1GT;2;46.27500506;92.55001012
VWR11P0GT;1;52.68217018;52.68217018
VWR11G501;2;30.50853624;61.01707248
VWR11G701;3;36.60838094;109.82514282
VWR1140S4;2;56.23963686;112.47927372
VWR12PRWRC;2;388.98383706;777.96767412
VWR12G6K03;1;212.94511284;212.94511284
FMBGFK7;2;19.35187372;38.70374744
VWR69G7KIT;7;67.11691718;469.81842026
VWR15G503;4;121.27050028;485.08200112
MMTS-240-89KA;5;26.158;130.79
MMSTB-FIST-14TB;2;93.808;187.616
748354027150;2;89.6506;179.3012
MMSK-TUE-16;2;27.388;54.776
MMSK-RKST;1;34.2022;34.2022
MMSK-PGR-BK;3;39.3354;118.0062
MMSK-FSB;2;27.06;54.12
216BFWABOSM;16;13.366;213.856
216BFWAFPSM;4;22.55;90.2
VWR13G700;21;298.9855177;6278.6958717
VWR13G700RFK;32;30.50853624;976.27315968
MMGRT-215;3;14.8994;44.6982
MMGRT-235;4;38.786;155.144
FMINTMK7-BLA;1;335.4914585;335.4914585
TTE600RS4;1;2102.3406;2102.3406
TTE780;1;2555.981;2555.981
CTS-EXH-CB-0007.0;5;393.5918;1967.959
CTS-EXH-CB-0002;3;368.9918;1106.9754
CTS-EXH-CB-0020-2;4;491.9918;1967.9672
CTS-EXH-CB-0008;2;442.7918;885.5836
AC-200-HS;3;7.79;23.37
CTS-EXH-CB-0001;2;344.3918;688.7836
CTS-EXH-CB-0003;1;479.6918;479.6918
CTS-EXH-CB-0015;2;688.7918;1377.5836
CTS-EXH-CB-0017;1;270.5918;270.5918
CTS-EXH-CB-0016;1;338.2418;338.2418
FMCCRAD7;2;616.93177404;1233.86354808
FMTUBL1;4;38.87137676;155.48550704
FMRMCLMP;2;14.23917946;28.47835892
FMSBCVXR;4;22.52751806;90.11007224
FMBGFK11;4;23.94305454;95.77221816
FMWBSCI-BLA;1;55.60637054;55.60637054
FMVAG5QS;1;56.9939688;56.9939688
FMBP135F20;2;166.08340516;332.16681032
CTS-IT-300R;1;135.2918;135.2918
FMSS2;1;62.860995;62.860995
FMBGMCS;1;19.07249152;19.07249152
FMBPVXA;2;18.66273096;37.32546192
FMBPVRM;3;17.21925626;51.65776878
FMBSMP18T;3;136.18950976;408.56852928
FMWS11BB;2;29.81939348;59.63878696
JSK-111-70;2;72.62074652;145.24149304
FMOCRS4;3;555.68188306;1667.04564918
JSK-103-80;1;68.5883301;68.5883301
CK-003;3;10.3371414;31.0114242
MMAF-REOIL-RD;2;10.824;21.648
CTS-IT-310;6;82;492
FMKT135F20;12;50.43779984;605.25359808
VWR31G70RW;4;120.12503326;480.50013304
VWR610360GUN;2;184.41087748;368.82175496
VWR610360SVR;4;184.41087748;737.64350992
ACCLAMP3;4;0.9266;3.7064
ACCLAMP275;110;0.9266;101.926
VWR12G7R600FO;26;55.68087246;1447.70268396
FMAUTB2;2;168.82135072;337.64270144
FMRCAM;1;189.57013544;189.57013544
FMRCAMF56;1;174.9863846;174.9863846
FMDV6A;3;166.28828544;498.86485632
FMDVST180R;2;113.95999938;227.91999876
FMDVCS14R;2;76.7835413;153.5670826
VWR19G706;11;39.66295966;436.29255626
VWR19G704;11;36.60838094;402.69219034
FMDVF20R;3;88.69453576;266.08360728
FMDVR60R;2;94.84094416;189.68188832
FMDVF20A;2;89.75618812;179.51237624
FMDVMCS;4;38.62924552;154.51698208
VWR12P0GT-FO;3;61.464084;184.392252
FMDVR60A;1;125.92687028;125.92687028
10.127.101K;24;153.3154;3679.5696
10.127.203K;32;153.3154;4906.0928
CTS-MM-TAI-3;1;18.0318;18.0318
FMINDK40-FOAM;1;370.45148446;370.45148446
VIB-1559;101;0.287;28.987
CTS-HW-0091;9;76.6618;689.9562
CTS-HW-0092;3;90.1918;270.5754
VWR30G500;3;190.37103108;571.11309324
MMICP-RS-16CBK;3;94.259;282.777
DI-BM/CA/1;1;626.1028;626.1028
L3P3AC7X;2;185.0084;370.0168
U3P3ZC25;3;232.5684;697.7052
EVE-E46-INT;3;456.576;1369.728
EVE-RS5-CF-INT;2;1193.1;2386.2
EVE-N55V2-CF-INT;6;646.488;3878.928
EVE-E60V2-CF-INT;4;713.4;2853.6
EVE-2TFSI-CF-INT;8;435.42;3483.36
EVE-F8XMV2-CF-INT;2;1176.864;2353.728
EVE-FLC;17;13.776;234.192
EVE-151-G2-FTR;13;41.82;543.66
EVE-661-G2-FTR;14;41.82;585.48
RPF-1721;1;18.4392252;18.4392252
RPF-1566;1;16.30660774;16.30660774
RPF-1512;2;20.09689292;40.19378584
RPF-1869;3;35.88198722;107.64596166
VWR13G500;4;214.83559906;859.34239624
VWR19G703;6;42.71753838;256.30523028
DP-BM/SS/3;1;826.765;826.765
FMVWQS;4;50.43779984;201.75119936
238SMBO270-PK;3;33.538;100.614
238SMOTSWL270-C;2;23.288;46.576
238SMOP270-PK;1;40.631;40.631
216BFWGBOSM;5;14.719;73.595
CTS-DP-IK1;5;6.15;30.75
VWR180000;48;6.71448554;322.29530592
ATINTVAG28;2;467.36916964;934.73833928
ATINTVAG18-C;1;563.87709426;563.87709426
ATINTVAG15;3;308.88496032;926.65488096
ATINTVAG12;2;336.75799114;673.51598228
ATINTVAG11;3;280.1737829;840.5213487
ATINTVAG6;2;343.20240722;686.40481444
ATINTVAG8;2;308.88496032;617.76992064
ATINTMINI01;4;217.76911216;871.07644864
ATINTMINI05;1;266.81931374;266.81931374
ATINTMAZ02;1;467.36916964;467.36916964
ATINTMAZ01;3;242.02879986;726.08639958
ATINTFO25;5;147.8863112;739.431556
