ORIGIN;REFERENCE;ATTRIBUTE;STOCK;SOLD
CROSS;FMINT4-Z;FMINT4-ACC;1;7
CROSS;FMINT4-Z;FMINT4;2;3
ASM;FMINTMK7-BLA;;0;1
CROSS;FMKT024-Z;FMKT024-BLA;2;6
ASM;FMINDRS4V8-Z;FMINDRS4V8-BL;0;2
ASM;FMR56IND-Z;FMR56IND-BLU;1;2
CROSS;FMR56IND-Z;FMR56IND-BLA;1;3
ASM;FMKTR56-Z;FMKTR56-BLA;4;1
ASM;FMKTR56-Z;FMKTR56-BLU;2;1
ASM;FMKCR56-Z;;;2
CROSS;FMKCR56-Z;FMKCR56-BLA;2;3
CROSS;FMR56RDH-Z;FMR56RDH-BLA;0;6
CROSS;FMINT7;;1;5
CROSS;FMTUBL1;;0;11
ASM;FMBKS38V-Z;FMBKS38V-RED;0;1
CROSS;FMRMCLMP;;0;7
ASM;FMSBCVXR;;1;13
ASM;FMWBSCI-BLA;;1;1
ASM;FMBP135F20;;2;2
ASM;FMSS2;;0;4
ASM;FMBGKS53T;;0;1
CROSS;FMBGMCS;;1;3
CROSS;FMBPVXA;;0;6
CROSS;FMHPRM-Z;FMHPRM-BLA;0;6
ASM;FMHPRM-Z;FMHPRM-RED;1;1
CROSS;FMHPRM-Z;FMHPRM-BLU;1;4
ASM;FMBPVRM;;2;2
CROSS;FMBSMP18T;;5;8
ASM;FMWS11BB;;2;2
CROSS;FMOCRS4;;2;8
ASM;FMINLFRS3-Z;FMINLFRS3-RED;0;1
ASM;FMKC018-Z;FMKC018-RD;0;2
ASM;FMKCMK7-Z;FMKCMK7-RED;0;1
ASM;FMKCMK7-Z;FMKCMK7-BLA;0;1
CROSS;FMKCMK7-Z;FMKCMK7-BLU;0;4
CROSS;FMKC005-Z;FMKC005-BLA;1;7
ASM;FMKT022-Z;FMKT022-BL;0;1
CROSS;FMKT135F20;;10;22
ASM;FMINLRCS-Z;FMINLRCS-RED;0;2
ASM;FMKCTT225-Z;FMKCTT225-RED;0;1
ASM;FMKCTT225-Z;FMKCTT225-BLA;2;4
ASM;"FMAM-B3 / 2-Z";FMAM-B3;5;2
ASM;FMINDS5-Z;FMINDS5-RED;2;1
CROSS;FMINDS5-Z;FMINDS5-BLA;3;5
ASM;FMRMIND-Z;FMRMIND-BLU;2;1
ASM;FMINDIBFR4-Z;FMINDIBFR4-BLA;1;1
ASM;FMINDIBFR4-Z;FMINDIBFR4-RED;1;1
ASM;FMANC1-Z;FMANC1-RED;4;1
ASM;FMANC1-Z;FMANC1-BLA;1;1
ASM;"FMAM-B3 / 2-Z";FMAM-B2;3;1
ASM;FMKTICTB-Z;FMKTICTB-RD;2;1
CROSS;FMGOLFIND-Z;FMGOLFIND-BLU;1;4
ASM;FMTTBH-Z;FMTTBH-;2;4
ASM;FMCCSCI-Z;FMCCSCI-BL;0;1
ASM;FMCCSCI-Z;FMCCSCI-BK;5;2
ASM;FM225CCHA-Z;FM225CCHA-BLA;2;3
ASM;FMBAVXR-Z;FMBAVXR-BLU;0;1
ASM;FMBIVXR-Z;FMBIVXR-BLA;2;1
ASM;FMRMBHT-Z;FMRMBHT-BLA;2;1
ASM;FMRMBHT-Z;FMRMBHT-RED;1;2
CROSS;FMRMBHT-Z;FMRMBHT-BLU;1;2
ASM;FMRMBHS-Z;;;2
ASM;FM225CCH-Z;FM225CCH-RED;2;1
ASM;FM225CCH-Z;FM225CCH-BLU;0;2
ASM;FM225CCH-Z;FM225CCH-BLA;6;1
ASM;FMMKV1-Z;FMMKV1-BLA;1;4
ASM;FMMKV1-Z;;;1
ASM;FMMKV1-Z;FMMKV1-BLU;0;2
CROSS;FMPOLOTB-Z;FMPOLOTB-BLA;0;2
ASM;FMPOLOTB-Z;FMPOLOTB-RED;0;1
ASM;FMPOLOTB-Z;FMPOLOTB-BLU;2;1
CROSS;FM225TBH-Z;FM225TBH-RED;2;3
ASM;FM225TBH-Z;FM225TBH-BLA;2;2
ASM;FM225SH-Z;FM225SH-BLA;0;5
ASM;FM225SH-Z;;;1
ASM;FMTTUHOSE-Z;FMTTUHOSE-;1;2
ASM;FMAUTB2;;2;2
ASM;FMRCAMF56;;1;1
ASM;FMDV6A;;3;3
ASM;FMDV8PS3-Z;FMDV8PS3-BLU;2;4
CROSS;FMDV8PS3-Z;FMDV8PS3-BLA;3;6
CROSS;FMDV8PS3-Z;FMDV8PS3-RED;0;2
ASM;FMDVC200R-Z;;;2
ASM;FMDVCS14R;;1;2
CROSS;FMDVR56A;;0;6
CROSS;FMDVF20A;;2;4
CROSS;FMDV008PA-Z;FMDV008PA-BLA;1;9
CROSS;FMDV008PA-Z;FMDV008PA-ALL;3;3
CROSS;FMDVMCS;;4;6
CROSS;FMDVR60A;;1;8
CROSS;FMINLS1-Z;FMINLS1-BLA;0;3
ASM;FMKTS1-RED;;0;3
CROSS;FMINDK40-FOAM;;1;5
CROSS;FMCTMK6;;-1;6
ASM;FMDVTUN-Z;FMDVSU110-GRE;14;2
ASM;FMDVTUN-Z;FMDVSU110-YEL;8;3
ASM;FMDVTUN-Z;FMDVSU110-BLU;4;2
CROSS;FMDVTUN-Z;FMDVSU110-RED;5;6
ASM;FMCB-Z;FMCB-BLA;3;1
ASM;FMVAG5QS;;3;4
CROSS;FMVWQS;;-1;53
ASM;FMKC010-Z;FMKC010-BLA;0;5
CROSS;FMKC010-Z;FMKC010-RED;2;7
CROSS;FMBGFK12;;2;3
CROSS;FMDVK04S-MAC;;1;6
CROSS;FMACST180-Z;FMACST180;1;3
CROSS;FMINDK20;;-5;15
ASM;FMINT11;;2;2
ASM;FMSCPS53TIK;;1;5
CROSS;FMKT005-Z;FMKT005-BLA;0;4
ASM;FMDV13A-POL;;1;1
ASM;FMCT4;;1;1
CROSS;FMTIA1;;3;3
ASM;FMINTF500-Z;FMINTF500-RED-MAN;1;1
CROSS;FMINDF500-Z;FMINDF500-RED-PLE;1;3
ASM;FMINDF500-Z;FMINDF500-BLU-PLE;1;1
CROSS;FMINDF500-Z;FMINDF500-BLA-PLE;0;4
ASM;FMINDMK7F-PLE;;;5
CROSS;FMDVF500A-SILVER;;0;7
CROSS;FM225TH-Z;FM225TH;-1;16
ASM;FMCC1;;0;1
CROSS;FMCTMK7;;-1;7
ASM;FMKT025-Z;FMKT025;0;3
CROSS;FMINLH8-Z;FMINLH8-BLA;1;6
ASM;FMCCRAD8;;1;1
CROSS;FMHFIP1;;0;13
CROSS;FMTUBL4;;4;11
CROSS;FMTUBL5;;4;8
CROSS;FMKTR56N18-Z;FMKTR56N18-BLA;1;4
CROSS;FMINLH11-Z;FMINLH11-BLU;1;2
CROSS;FMINLH11-Z;FMINLH11-RED;2;8
CROSS;FMINLH11-Z;FMINLH11-BLA;2;8
ASM;FMINT12;;1;1
CROSS;FMOC10;;1;2
CROSS;FMCT3;;4;5
CROSS;FMINLH9-Z;FMINLH9-STO;3;10
ASM;FMKC020-BLA;;;1
ASM;FMKC021-Z;FMKC021-RD;1;1
ASM;FMKC021-Z;FMKC021-BK;3;1
ASM;FMIHF500-Z;FMIHF500-BLA;0;4
CROSS;FMIHF500-Z;FMIHF500-RED;5;2
CROSS;FMINDK28-Z;FMINDK28-BLA-FOA;0;10
ASM;FMINDK28-Z;"FMINDK28-RED-FOA ";2;1
CROSS;FMDV20-BLA;;-3;22
CROSS;FMINT15;;0;5
CROSS;FMCTMK5;;1;3
CROSS;FMINLH14-Z;FMINLH14-BLK;1;3
CROSS;FMCAP5-Z;FMCAP5-BLA-BLA;1;4
ASM;FMCAP5-Z;FMCAP5-ALL-BLA;2;4
ASM;FMPK383;;1;5
ASM;FMINDK30-Z;FMINDK30-RED;0;4
CROSS;FMINDK30-Z;FMINDK30-BLA;0;2
CROSS;FMDV18-Z;FMDV18-RED;3;7
CROSS;FMDV18-Z;FMDV18-BLA;2;5
CROSS;FMSS3;;-1;12
CROSS;FMDV23A-Z;FMDV23A-BLA;2;2
CROSS;FMDV23A-Z;FMDV23A-ALL;1;2
CROSS;FMCCRAD11;;0;2
ASM;FMWS726xx-Z;FMWS72613-16M;0;1
ASM;FMWS726xx-Z;FMWS72616;0;2
ASM;FMWS726xx-Z;FMWS72620;0;1
CROSS;FMTIA2-Z;FMTIA2-BLA;0;11
CROSS;FMTIA2-Z;FMTIA2-RED;2;4
CROSS;FMTIA2-Z;FMTIA2-BLU;2;3
CROSS;FMINDK20-RF;;1;7
ASM;FMTUBL6;;2;1
ASM;FMBP3;;4;2
ASM;FMKT027-Z;FMKT027-RED;2;2
ASM;FMKCMEG-Z;FMKCMEG-BLU;2;2
ASM;FMINLH7-Z;FMINLH7-BK;0;1
ASM;FMKCA4B8-Z;FMKCBA4B8-BK;0;2
CROSS;FMTUBL7;;1;8
ASM;FMSTC1-Z;FMSTC1-RED;1;2
ASM;FMBH1-Z;FMBH1-RED;1;2
ASM;FMEC1;;1;1
ASM;FMOC1x-BLA-Z;;2;6
ASM;FMOC1x-BLA-Z;FMOC13-BLA;1;1
CROSS;FMKC023-Z;FMKC023-PER;0;4
CROSS;FMKC023-Z;FMKC023-RED;2;2
ASM;FMINDDS3-Z;FMINDDS3-BLA;4;8
CROSS;FMINDDS3-Z;FMINDDS3-RED;2;8
CROSS;FMINDDS3-Z;FMINDDS3-BLU;-1;6
CROSS;FMACF500-Z;FMACF500;5;4
CROSS;FMACF14-Z;FMACF14;0;6
CROSS;FMDV27A;;0;2
ASM;FMCT6;;2;1
ASM;FMCT5-BLA;;0;6
ASM;FMBP4;;1;2
CROSS;FMDV26A;;2;5
ASM;FMGK1-Z;FMGK1-ALI;1;1
CROSS;FMDV32A-Z;FMDV32A-BLK;3;12
CROSS;FMDV32A-Z;FMDV32A-POL;-1;5
ASM;FMDV32R-Z;FMDV32R-BLK;0;1
CROSS;FMDV32R-Z;FMDV32R-POL;0;4
CROSS;FMINDK28R-Z;FMINDK28RF;2;2
CROSS;FMDV33A-Z;FMDV33A-BLA;1;1
CROSS;FMDV33A-Z;FMDV33A-ALL;2;2
CROSS;FMMD5;;4;4
CROSS;FMMD6;;3;2
ASM;FMCTDS3-Z;FMCTDS3-BL;0;2
ASM;FMCTDS3-Z;FMCTDS3-BK;0;1
ASM;FMTIA4-Z;FMTIA4-RED;2;3
ASM;FMTIA4-Z;;;1
CROSS;FMTIA4-Z;FMTIA4-BLA;5;8
CROSS;FMINDK31;;4;17
CROSS;FMINLD1;;4;8
CROSS;FMTIA8-STOCK;;-1;8
CROSS;FMBP6;;3;4
CROSS;FMTIA6-Z;FMTIA6-BLACK;2;4
CROSS;FMINLH21-Z;FMINLH21-BLACK;0;4
CROSS;FMDV35;;4;7
CROSS;FMTIA3;;3;5
CROSS;FMINLH20-Z;FMINLH20-BLACK;1;2
CROSS;FMDV37-BLACK;;-2;14
CROSS;FMINT25;;2;7
CROSS;FMINDK43;;2;7
CROSS;FMEC3;;2;3
CROSS;FMINDK38;;3;5
ASM;FMTIA9-Z;FMTIA9-BLACK;1;5
CROSS;FMTIA9-Z;FMTIA9-RED;1;2
CROSS;FMSS5;;3;6
ASM;FMGK2-Z;FMGK2-POLISHED-POLISHED6;1;1
ASM;FMGK2-Z;FMGK2-BLACK-BLACK6;1;2
CROSS;FMMD7;;8;12
CROSS;FMINDK45-Z;FMINDK45-PLEATED;-1;9
CROSS;FMINDK45-Z;FMINDK45-FOAM;0;10
ASM;FMEC4;;2;3
CROSS;FMINT28;;3;5
CROSS;FMTUBL15;;0;15
CROSS;FMSS7;;6;13
CROSS;FMSS8;;1;5
CROSS;FMINT24;;1;7
CROSS;FMTUBL16;;3;12
CROSS;FMTIA11-Z;FMTIA11-PERFBLUE;4;8
CROSS;FMTIA11-Z;FMTIA11-BLACK;1;14
CROSS;FMTIA11-Z;FMTIA11-RED;1;7
CROSS;FMOC12-BLACK;;1;4
CROSS;FMINT33;;0;3
CROSS;FMBH7-Z;FMBH7-RED;1;3
CROSS;FMBH7-Z;FMBH7-PERFORMANCEBLUE;2;2
CROSS;FMBH7-Z;FMBH7-BLACK;-1;4
CROSS;FMSS6;;3;3
CROSS;FMDV38;;0;3
CROSS;FMTUBL14;;1;3
CROSS;FMINT30-BLACK;;-1;4
CROSS;FMINLH25-Z;FMINLH25-BLACK;0;7
ASM;FMINLH25-Z;FMINLH25-RED;1;1
ASM;FMKCREN197-Z;FMKCREN197-BLA;1;1
CROSS;FMKT035-Z;FMKT035-BLA;0;4
ASM;FMTUBL17;;2;2
ASM;FMINDK32-Z;FMINDK32-RED-BLA;2;1
CROSS;FMINDK32-Z;FMINDK32-BLA-BLA;0;3
CROSS;FMDV21;;2;4
CROSS;FMINT16-BLA;;1;7
CROSS;FMKC022-Z;FMKC022-RED;0;2
CROSS;FMKT026-Z;FMKT026-RED;0;2
ASM;FMINDK44-FOAM;;2;1
CROSS;FMINLD2-M;;10;4
ASM;FMINLD2-D;;4;3
ASM;FMINLD2-P;;4;3
ASM;FMSS9;;3;5
CROSS;FMINDK47;;3;21
CROSS;FMAS049-Z;FMAS049-GRE;0;4
CROSS;FMAS049-Z;FMAS049-YEL;1;7
CROSS;FMAS049-Z;FMAS049-BLU;13;3
CROSS;FMAS049-Z;FMAS049-RED;8;2
CROSS;FMINDK50;;-1;4
ASM;FMINLD3;;2;3
ASM;FMBH9-Z;FMBH9-RED;2;2
ASM;FMBH9-Z;FMBH9-BLA;2;1
ASM;FMINLR60-Z;FMINLR60-RED;0;3
CROSS;FMINLR60-Z;FMINLR60-BLA;1;3
ASM;FMINT25-WSRB;;1;1
ASM;FMBH10-Z;FMBH10-PERFBLUE;1;2
ASM;FMBH10-Z;FMBH10-BLK;4;1
ASM;FMBH10-Z;FMBH10-RED;1;2
CROSS;FMEDV103A;;4;6
CROSS;FMEDV103R;;0;10
CROSS;FMEDV108A;;0;2
ASM;FMEDV108R;;1;1
ASM;FMEDV101A;;2;1
ASM;FMEDV104R;;2;1
ASM;FMEDV105A;;2;2
ASM;FMEDV107A;;1;1
ASM;FMEDV105R;;-4;7
ASM;FMINT27;;-2;2
ASM;FMDVRAYCR-BLA;;-2;2
ASD;FMINLH21-RED;;0;2
ASD;FMINDMK7F-FOA;;0;1
ASD;FMDP1;;2;1
ASD;FMINDK4-RED;;1;1
ASD;FMTUBL2;;5;5
ASD;FMINDK28-BLU-FOA;;1;2
ASD;FMDV7;;0;1
ASD;FMINDK52;;3;5
ASD;FMTIA13-BLA;;1;2
ASD;FMKT025-;;0;2
ASD;FMDV1-BLA;;1;3
ASD;FMDV18-BLU;;1;3
ASD;FMTIA6-RED;;2;2
ASD;FMIND2RCT-RED;;1;1
ASD;FMINDK28-RED-FOA;;2;5
ASD;FMRMIND-BLA;;0;2
ASD;FMR56IND-RED;;1;1
ASD;FMINTBM;;0;1
ASD;FMKT026-BLA;;1;3
ASD;FMINDK50-CARBON;;0;2
ASD;FMDVRMR;;2;2
ASD;FMBH18T-RED;;2;2
ASD;FMINLH20-RED;;2;1
ASD;FMINT17;;1;3
ASD;FMINLH14-BLU;;1;1
ASD;FMRCAM;;1;1
ASD;FMR56RDH-BLU;;2;2
ASD;FMR56RDH-RED;;1;3
ASD;FMINDR35;;9;1
ASD;FMKT005-RED;;2;1
ASD;FMOC11-BLA;;0;3
ASD;FMINDIB12-BLA;;0;2
ASD;FMDV12VAG-BLA-BLA;;1;1
ASD;FMINLH14-RED;;1;1
ASD;FMKT029-BLA;;1;2
ASD;FMKT033-BLACK;;1;1
ASD;FM225TBH-BLU;;1;2
ASD;FMIND3RCTY-BLA;;0;1
ASD;FMKC005-BLU;;1;1
ASD;FMKTR56N18-RED;;1;1
ASD;FMBH4-RED;;0;1
ASD;FMFOCSTDV-BLU;;1;2
ASD;FMINT38;;1;1
ASD;FMDVC200A-BLU;;3;1
ASD;FMGK1-RED;;1;1
ASD;FMINLH9-TTE700-LHD;;1;1
ASD;FMTUBL9;;2;1
ASD;FMINDP14-RED;;2;1
ASD;FMDVF20R;;2;1
ASD;FMEDV104A;;2;1
ASD;FMEDV102A;;2;1
ASD;FMINDK14-GTE-BLA;;-1;1
ASD;FMDV1-GTE-BLU;;-1;1
ASD;FMINDK53-RED;;-1;1
ASD;FMTIA14-BLACK;;-2;2
ASD;FMDV001GTI-POL;;1;1
ASD;FMINLST180-BLU;;2;1
ASD;FMINLH13-RED;;-1;1
ASD;FMBH18T-BLA;;1;1
ASD;FMGOLFIND-BLA;;0;1
