REFERENCE;QUANTITY;"WHOLESALE PRICE";TOTAL
SE10;1;194.1974676;194.1974676
ACSP1;9;4.1;36.9
AC-E46-FU;8;77.9;623.2
AC-FU-E36;7;36.9;258.3
AC-S2K-FU;5;24.6;123
RD3025;5;180.4902;902.451
SP1105BLK;4;164.041;656.164
SP1128WB;7;186.1236;1302.8652
SP6063BLK;2;141.5484;283.0968
FMDVK04D;1;73.55736036;73.55736036
FMDVSUB01;2;85.81849236;171.63698472
FMDVATSI-POL;2;127.53463608;255.06927216
FMDV004-POL;1;56.58040836;56.58040836
FMINTLFS-LS-BLA;1;334.10641536;334.10641536
AC-NC-FU;2;24.6;49.2
216BFWAOTSM;21;17.712;371.952
216BFWAOPSM;25;20.582;514.55
VIB-1458;39;0.287;11.193
RN09;2;144.19091232;288.38182464
ECA3015;1;116.4564;116.4564
SP2070P;1;149.2236;149.2236
EVO1206;6;202.663;1215.978
FMWRX301-ALL;1;94.82570856;94.82570856
216EVOWGAFRWB4.9-WO;6;91.84;551.04
216EVOAFRWB4.9-WO;3;91.84;275.52
MMAI-CLA45-14BK;17;217.382;3695.494
MMRAD-350Z-07;4;152.438;609.752
MMRAD-370Z-09;3;280.071;840.213
MMTS-S2K-00L;6;26.158;156.948
MMFAN-SWITCH;4;20.746;82.984
CTS-IT-105R;18;123;2214
FMDVK04SA-SIL;5;95.45762844;477.2881422
FMDV2A;2;103.38963768;206.77927536
FMDVA45A;1;95.45762844;95.45762844
FMDVST180A;2;117.72573048;235.45146096
FMDV14TSI-POL;1;39.12244272;39.12244272
FMBGFK6;2;24.24874644;48.49749288
FMPCVD1;7;47.1582;330.1074
SES1989TT;4;778.098;3112.392
CTS-HW-031;14;61.5;861
CTS-IT-250;12;171.3718;2056.4616
CTS-IT-220R;19;135.3;2570.7
CTS-HW-030;9;45.0918;405.8262
CTS-IT-110;17;103.7218;1763.2706
CTS-HW-0090;8;81.1718;649.3744
CTS-HW-0151;11;90.1918;992.1098
CTS-IT-270R;11;142.2618;1564.8798
CTS-HW-0099;4;90.1918;360.7672
FMINTMRS;1;414.03013272;414.03013272
MMRAD-E46-01;3;274.5606;823.6818
MMRAD-E36-92;9;138.908;1250.172
MMRAD-MUS4-15;2;259.776;519.552
CTS-IT-500;10;76.6618;766.618
MMRAD-GLF-94;11;128.084;1408.924
MMRAD-MK5-08;8;136.653;1093.224
MMRAD-GLF-99;12;136.653;1639.836
MMRAD-B4-90;7;136.653;956.571
MMRAD-BRZ-13;4;167.772;671.088
CTS-IT-280;9;69.7;627.3
MMRAD-R35-09;4;280.071;1120.284
MMRAD-MIA-99;21;124.476;2613.996
MMRAD-RX8-04;15;145.673;2185.095
MMRAD-240-89KA;5;128.084;640.42
MMRAD-CIV-02SI;3;136.653;409.959
MMRAD-INT-94;1;128.084;128.084
MMRAD-EVO-01;9;144.32;1298.88
MMRAD-EVO-10;1;148.1576;148.1576
MMAI-350Z-03H;3;95.366;286.098
MMTS-S4-00L;7;26.158;183.106
MMTS-E90-07;15;32.021;480.315
MMTS-CIV-92L;2;24.805;49.61
MMTS-350Z-03L;3;24.6492;73.9476
MMTS-350Z-07;5;33.825;169.125
MMTS-WRX-01;6;24.805;148.83
MMTS-GTR-09;6;51.414;308.484
MMTS-BRZ-13;2;26.158;52.316
MMTS-RX8-04L;4;25.1412;100.5648
MMTS-RSX-02;2;33.825;67.65
MMTS-VR6-93L;7;26.158;183.106
MMTS-EVO-01;5;26.158;130.79
MMTS-FIST-14;3;26.158;78.474
CTS-CC-GOLFR;4;196.7918;787.1672
CTS-CC-MK5FSI;3;213.1918;639.5754
216EVOEOP-RB;10;37.597;375.97
216EVOWT-C;1;22.55;22.55
CTS-20T-MK5-DF;4;328;1312
CTS-IT-285;26;39.3518;1023.1468
CTS-HW-003;2;29.5118;59.0236
CTS-IT-600;3;69.7;209.1
CTS-IT-275;6;90.1918;541.1508
CTS-IT-210;9;90.1918;811.7262
"CTS-HW-036 ARP";7;77.0718;539.5026
CTS-HW-0199;10;36.0718;360.718
MMOC-E46-01;3;364.777;1094.331
FMMK5FMIC-BLA;3;383.97149604;1151.91448812
FMINT32;3;410.35179312;1231.05537936
FMINDST180;3;88.78002732;266.34008196
FMIND05;3;129.72277656;389.16832968
216EVOEGT;14;42.927;600.978
MMOC-MIA-99T;1;192.9624;192.9624
MMOC-EVO-08;2;268.7796;537.5592
MMBCC-N54-06CBE2;8;96.514;772.112
EVO9200;3;167.2718;501.8154
EVO300E;6;174.6272;1047.7632
MMBCC-FOST-13PBE2;1;91.6596;91.6596
MMBCC-MUS4-15PBE;4;93.357;373.428
MMBCC-BRZ-13PBE;6;103.73;622.38
CTS-IT-020;4;69.7;278.8
MMHOSE-MIA-90HHBK;2;28.5606;57.1212
MMHOSE-MIA-94HHBK;2;31.21822;62.43644
216BFWAWTSM;16;17.712;283.392
216BFWAVOSM;15;16.236;243.54
216BFWGEBOSM;4;24.887;99.548
216BFWGOPSM;4;21.894;87.576
216BFWGOTSM;5;19.065;95.325
MMHOSE-R35-09BK;3;63.591;190.773
FMBGFK3;4;23.9092074;95.6368296
FMDVRMR;2;76.62264336;153.24528672
MMRAD-K20-EK;2;160.556;321.112
MMRAD-K20-EG;2;130.4128;260.8256
FMBM335DV1-BLA-BLA;2;245.21320836;490.42641672
CTS-HW-028;4;45.0918;180.3672
CTS-HW-049;3;14.7518;44.2554
JSK-118;1;204.30818568;204.30818568
S-RE/T/1;1;1424.4712;1424.4712
E-BM/T/3;1;1266.0554;1266.0554
CTS-EXH-DP-0007;2;360.7918;721.5836
FMINTTTS;1;324.36353124;324.36353124
FMINT135F20;1;369.89005752;369.89005752
FMINTR56-ALL;1;313.72464132;313.72464132
FMINTMF56;2;282.50591292;565.01182584
MMFS-S2K-00;1;85.3128;85.3128
MMFS-INT-94;2;97.416;194.832
