Supplier;Manufacturer;SKU;Name;VAT;Price;Purchase;Width;Height;Depth;Weight;Discount;Tags;"Meta title";"Meta Tags";URL
"CTS Turbo";"CTS Turbo";PARTS-CTS;;7;156.10;93.66;22.000000;22.000000;22.000000;1.000000;;"CTS Turbo, PARTS-CTS, ";;"CTS Turbo, PARTS-CTS, ";cts-turbo-parts-cts
"CTS Turbo";"CTS Turbo";EVE-SPARE;;7;19.00;0.90;22.000000;22.000000;22.000000;1.000000;;"CTS Turbo, EVE-SPARE, ";;"CTS Turbo, EVE-SPARE, ";cts-turbo-eve-spare
"CTS Turbo";"CTS Turbo";CTS-EXH-CB-0032;;7;1268.28;701.99;110.000000;50.000000;30.000000;18.000000;;"CTS Turbo, CTS-EXH-CB-0032, ";;"CTS Turbo, CTS-EXH-CB-0032, ";cts-turbo-cts-exh-cb-0032
"CTS Turbo";"CTS Turbo";CTS-TR-2251;;7;2439.02;1349.99;62.000000;42.000000;32.000000;18.000000;;"CTS Turbo, CTS-TR-2251, ";;"CTS Turbo, CTS-TR-2251, ";cts-turbo-cts-tr-2251
