Supplier;Manufacturer;SKU;Name;VAT;Price;Purchase;Width;Height;Depth;Weight;Discount;Tags;"Meta title";"Meta Tags";URL
"Alpha Competition";"Alpha Competition";AC-45-FU;;7;113.81;40.50;22.000000;16.500000;122.000000;3.000000;;"Alpha Competition, AC-45-FU, ";;"Alpha Competition, AC-45-FU, ";alpha-competition-ac-45-fu
"Alpha Competition";"Alpha Competition";AC-180-FU;;7;105.68;36.00;122.000000;22.000000;16.500000;3.100000;;"Alpha Competition, AC-180-FU, ";;"Alpha Competition, AC-180-FU, ";alpha-competition-ac-180-fu
"Alpha Competition";"Alpha Competition";AC-BRZ-BK;;7;36.58;17.00;20.000000;8.000000;18.000000;0.300000;;"Alpha Competition, AC-BRZ-BK, ";;"Alpha Competition, AC-BRZ-BK, ";alpha-competition-ac-brz-bk
"Alpha Competition";"Alpha Competition";AC-200-CFA-KIT;;7;35.22;4.86;15.000000;5.000000;10.000000;0.100000;;"Alpha Competition, AC-200-CFA-Z, AC-200-CFA-KIT";;"Alpha Competition, AC-200-CFA-Z, AC-200-CFA-KIT";alpha-competition-ac-200-cfa-kit
"Alpha Competition";"Alpha Competition";AC-MK7-RU-RD;;7;89.42;21.60;122.000000;22.000000;16.000000;2.200000;;"Alpha Competition, AC-MK7-RU-xx-Z, AC-MK7-RU-RD";;"Alpha Competition, AC-MK7-RU-xx-Z, AC-MK7-RU-RD";alpha-competition-ac-mk7-ru-rd
"Alpha Competition";"Alpha Competition";AC-MK7-RU-BK;;7;89.42;21.60;122.000000;22.000000;16.000000;2.200000;;"Alpha Competition, AC-MK7-RU-xx-Z, AC-MK7-RU-BK";;"Alpha Competition, AC-MK7-RU-xx-Z, AC-MK7-RU-BK";alpha-competition-ac-mk7-ru-bk
"Alpha Competition";"Alpha Competition";AC-KC-MB-01-BK;;7;16.25;5.00;15.000000;7.000000;10.000000;0.100000;;"Alpha Competition, AC-KC-MB-01-Z, AC-KC-MB-01-BK";;"Alpha Competition, AC-KC-MB-01-Z, AC-KC-MB-01-BK";alpha-competition-ac-kc-mb-01-bk
"Alpha Competition";"Alpha Competition";AC-KC-FO-01-RD;;7;16.25;5.00;15.000000;7.000000;10.000000;0.100000;;"Alpha Competition, AC-KC-FO-01-Z, AC-KC-FO-01-RD";;"Alpha Competition, AC-KC-FO-01-Z, AC-KC-FO-01-RD";alpha-competition-ac-kc-fo-01-rd
"Alpha Competition";"Alpha Competition";AC-KC-FO-01-BK;;7;16.25;5.00;15.000000;7.000000;10.000000;0.100000;;"Alpha Competition, AC-KC-FO-01-Z, AC-KC-FO-01-BK";;"Alpha Competition, AC-KC-FO-01-Z, AC-KC-FO-01-BK";alpha-competition-ac-kc-fo-01-bk
"Alpha Competition";"Alpha Competition";AC-KC-FO-01-BL;;7;16.25;5.00;15.000000;7.000000;10.000000;0.100000;;"Alpha Competition, AC-KC-FO-01-Z, AC-KC-FO-01-BL";;"Alpha Competition, AC-KC-FO-01-Z, AC-KC-FO-01-BL";alpha-competition-ac-kc-fo-01-bl
"Alpha Competition";"Alpha Competition";AC-KC-FO-02-BK;;7;16.25;5.00;15.000000;7.000000;1.000000;0.100000;;"Alpha Competition, AC-KC-FO-02-Z, AC-KC-FO-02-BK";;"Alpha Competition, AC-KC-FO-02-Z, AC-KC-FO-02-BK";alpha-competition-ac-kc-fo-02-bk
"Alpha Competition";"Alpha Competition";AC-KC-FO-02-RD;;7;16.25;5.00;15.000000;7.000000;1.000000;0.100000;;"Alpha Competition, AC-KC-FO-02-Z, AC-KC-FO-02-RD";;"Alpha Competition, AC-KC-FO-02-Z, AC-KC-FO-02-RD";alpha-competition-ac-kc-fo-02-rd
"Alpha Competition";"Alpha Competition";AC-KC-FO-03-RD;;7;16.25;5.00;15.000000;7.000000;10.000000;0.100000;;"Alpha Competition, AC-KC-FO-03-Z, AC-KC-FO-03-RD";;"Alpha Competition, AC-KC-FO-03-Z, AC-KC-FO-03-RD";alpha-competition-ac-kc-fo-03-rd
"Alpha Competition";"Alpha Competition";AC-KC-FO-03-BK;;7;16.25;5.00;15.000000;7.000000;10.000000;0.100000;;"Alpha Competition, AC-KC-FO-03-Z, AC-KC-FO-03-BK";;"Alpha Competition, AC-KC-FO-03-Z, AC-KC-FO-03-BK";alpha-competition-ac-kc-fo-03-bk
"Alpha Competition";"Alpha Competition";AC-KC-FO-03-BL;;7;16.25;5.00;15.000000;7.000000;10.000000;0.100000;;"Alpha Competition, AC-KC-FO-03-Z, AC-KC-FO-03-BL";;"Alpha Competition, AC-KC-FO-03-Z, AC-KC-FO-03-BL";alpha-competition-ac-kc-fo-03-bl
"Alpha Competition";"Alpha Competition";AC-KC-MB3B-RD;;7;16.25;5.00;15.000000;7.000000;10.000000;0.200000;;"Alpha Competition, AC-KC-MB3B-Z, AC-KC-MB3B-RD";;"Alpha Competition, AC-KC-MB3B-Z, AC-KC-MB3B-RD";alpha-competition-ac-kc-mb3b-rd
"Alpha Competition";"Alpha Competition";AC-KC-MB3B-BK;;7;16.25;5.00;15.000000;7.000000;10.000000;0.200000;;"Alpha Competition, AC-KC-MB3B-Z, AC-KC-MB3B-BK";;"Alpha Competition, AC-KC-MB3B-Z, AC-KC-MB3B-BK";alpha-competition-ac-kc-mb3b-bk
"Alpha Competition";"Alpha Competition";AC-WS-8;;7;32.48;6.84;22.000000;22.000000;22.000000;2.300000;;"Alpha Competition, AC-WS-XX-Z, AC-WS-8";;"Alpha Competition, AC-WS-XX-Z, AC-WS-8";alpha-competition-ac-ws-8
"Alpha Competition";"Alpha Competition";AC-WS-10;;7;37.38;11.27;22.000000;22.000000;22.000000;2.300000;;"Alpha Competition, AC-WS-XX-Z, AC-WS-10";;"Alpha Competition, AC-WS-XX-Z, AC-WS-10";alpha-competition-ac-ws-10
"Alpha Competition";"Alpha Competition";AC-WS-12;;7;38.04;12.22;22.000000;22.000000;22.000000;2.300000;;"Alpha Competition, AC-WS-XX-Z, AC-WS-12";;"Alpha Competition, AC-WS-XX-Z, AC-WS-12";alpha-competition-ac-ws-12
"Alpha Competition";"Alpha Competition";AC-WS-15;;7;40.64;13.48;22.000000;22.000000;22.000000;2.300000;;"Alpha Competition, AC-WS-XX-Z, AC-WS-15";;"Alpha Competition, AC-WS-XX-Z, AC-WS-15";alpha-competition-ac-ws-15
"Alpha Competition";"Alpha Competition";AC-WS-20;;7;47.11;10.01;22.000000;22.000000;22.000000;2.300000;;"Alpha Competition, AC-WS-XX-Z, AC-WS-20";;"Alpha Competition, AC-WS-XX-Z, AC-WS-20";alpha-competition-ac-ws-20
"Alpha Competition";"Alpha Competition";AC-WS-8-BT;;7;44.92;6.84;22.000000;22.000000;22.000000;2.300000;;"Alpha Competition, AC-WS-XX-Z, AC-WS-8-BT";;"Alpha Competition, AC-WS-XX-Z, AC-WS-8-BT";alpha-competition-ac-ws-8-bt
"Alpha Competition";"Alpha Competition";AC-WS-10-BT;;7;49.82;14.40;22.000000;22.000000;22.000000;2.300000;;"Alpha Competition, AC-WS-XX-Z, AC-WS-10-BT";;"Alpha Competition, AC-WS-XX-Z, AC-WS-10-BT";alpha-competition-ac-ws-10-bt
"Alpha Competition";"Alpha Competition";AC-WS-12-BT;;7;50.48;15.37;22.000000;22.000000;22.000000;2.300000;;"Alpha Competition, AC-WS-XX-Z, AC-WS-12-BT";;"Alpha Competition, AC-WS-XX-Z, AC-WS-12-BT";alpha-competition-ac-ws-12-bt
"Alpha Competition";"Alpha Competition";AC-WS-15-BT;;7;54.54;16.63;22.000000;22.000000;22.000000;2.300000;;"Alpha Competition, AC-WS-XX-Z, AC-WS-15-BT";;"Alpha Competition, AC-WS-XX-Z, AC-WS-15-BT";alpha-competition-ac-ws-15-bt
