Supplier;Manufacturer;SKU;Name;VAT;Price;Purchase;Width;Height;Depth;Weight;Discount;Tags;"Meta title";"Meta Tags";URL
Eibach;Eibach;E40-42-040-06-11;;7;573.98;386.10;120.000000;18.000000;38.000000;9.100000;;"Eibach, E40-42-040-06-11, ";;"Eibach, E40-42-040-06-11, ";eibach-e40-42-040-06-11
Eibach;Eibach;E40-15-023-01-11;;7;435.37;292.50;18.000000;120.000000;39.000000;9.400000;;"Eibach, E40-15-023-01-11, ";;"Eibach, E40-15-023-01-11, ";eibach-e40-15-023-01-11
Eibach;Eibach;S90-2-10-004-B-BT;;7;166.52;55.20;19.000000;21.000000;7.000000;1.800000;;"Eibach, S90-2-xx-00x-B-Z, S90-2-10-004-B-BT";;"Eibach, S90-2-xx-00x-B-Z, S90-2-10-004-B-BT";eibach-s90-2-10-004-b-bt
Eibach;Eibach;S90-2-10-038-B-BT;;7;179.00;68.00;19.000000;21.000000;7.000000;1.800000;;"Eibach, S90-2-xx-02x-B-Z, S90-2-10-038-B-BT";;"Eibach, S90-2-xx-02x-B-Z, S90-2-10-038-B-BT";eibach-s90-2-10-038-b-bt
Eibach;Eibach;S90-2-12-023-B-BT;;7;188.00;71.60;19.000000;21.000000;7.000000;1.800000;;"Eibach, S90-2-xx-02x-B-Z, S90-2-12-023-B-BT";;"Eibach, S90-2-xx-02x-B-Z, S90-2-12-023-B-BT";eibach-s90-2-12-023-b-bt
Eibach;Eibach;S90-2-15-055-B-BT;;7;198.00;75.60;19.000000;21.000000;7.000000;1.800000;;"Eibach, S90-2-xx-02x-B-Z, S90-2-15-055-B-BT";;"Eibach, S90-2-xx-02x-B-Z, S90-2-15-055-B-BT";eibach-s90-2-15-055-b-bt
Eibach;Eibach;S90-2-12-019-BT;;7;175.52;57.44;19.000000;21.000000;7.000000;1.800000;;"Eibach, S90-2-xx-0xx-Z, S90-2-12-019-BT";;"Eibach, S90-2-xx-0xx-Z, S90-2-12-019-BT";eibach-s90-2-12-019-bt
Eibach;Eibach;S90-2-15-004-BT;;7;185.28;60.64;19.000000;21.000000;7.000000;1.800000;;"Eibach, S90-2-xx-0xx-Z, S90-2-15-004-BT";;"Eibach, S90-2-xx-0xx-Z, S90-2-15-004-BT";eibach-s90-2-15-004-bt
Eibach;Eibach;S90-2-20-011-BT;;7;195.85;64.24;19.000000;21.000000;7.000000;1.800000;;"Eibach, S90-2-xx-0xx-Z, S90-2-20-011-BT";;"Eibach, S90-2-xx-0xx-Z, S90-2-20-011-BT";eibach-s90-2-20-011-bt
Eibach;Eibach;S90-2-15-020-BT;;7;155.71;56.80;19.000000;21.000000;7.000000;1.800000;;"Eibach, S90-x-xx-0xx-Z, S90-2-15-020-BT";;"Eibach, S90-x-xx-0xx-Z, S90-2-15-020-BT";eibach-s90-2-15-020-bt
Eibach;Eibach;S90-7-20-012-BT;;7;163.84;76.80;19.000000;21.000000;7.000000;1.800000;;"Eibach, S90-x-xx-0xx-Z, S90-7-20-012-BT";;"Eibach, S90-x-xx-0xx-Z, S90-7-20-012-BT";eibach-s90-7-20-012-bt
Eibach;Eibach;S90-2-10-021-BT;;7;147.58;53.60;19.000000;21.000000;7.000000;1.800000;;"Eibach, S90-x-xx-0xx-Z, S90-2-10-021-BT";;"Eibach, S90-x-xx-0xx-Z, S90-2-10-021-BT";eibach-s90-2-10-021-bt
Eibach;Eibach;S90-2-15-008-BT;;7;184.40;73.76;22.000000;22.000000;22.000000;1.800000;;"Eibach, S90-2-xx-xxx-Z, S90-2-15-008-BT";;"Eibach, S90-2-xx-xxx-Z, S90-2-15-008-BT";eibach-s90-2-15-008-bt
Eibach;Eibach;S90-2-20-021-BT;;7;195.40;78.16;22.000000;22.000000;22.000000;1.800000;;"Eibach, S90-2-xx-xxx-Z, S90-2-20-021-BT";;"Eibach, S90-2-xx-xxx-Z, S90-2-20-021-BT";eibach-s90-2-20-021-bt
Eibach;Eibach;S90-2-10-013-BT;;7;166.40;66.56;22.000000;22.000000;22.000000;1.800000;;"Eibach, S90-2-xx-xxx-Z, S90-2-10-013-BT";;"Eibach, S90-2-xx-xxx-Z, S90-2-10-013-BT";eibach-s90-2-10-013-bt
Eibach;Eibach;S90-2-15-017-B-BT;;7;189.00;75.60;20.000000;20.000000;20.000000;1.000000;;"Eibach, S90-2-x-00x-B-Z, S90-2-15-017-B-BT";;"Eibach, S90-2-x-00x-B-Z, S90-2-15-017-B-BT";eibach-s90-2-15-017-b-bt
Eibach;Eibach;S90-2-12-004-B-BT;;7;179.00;71.60;20.000000;20.000000;20.000000;1.000000;;"Eibach, S90-2-x-00x-B-Z, S90-2-12-004-B-BT";;"Eibach, S90-2-x-00x-B-Z, S90-2-12-004-B-BT";eibach-s90-2-12-004-b-bt
Eibach;Eibach;S90-2-10-002-B-BT;;7;170.00;68.00;20.000000;20.000000;20.000000;1.000000;;"Eibach, S90-2-x-00x-B-Z, S90-2-10-002-B-BT";;"Eibach, S90-2-x-00x-B-Z, S90-2-10-002-B-BT";eibach-s90-2-10-002-b-bt
Eibach;Eibach;"PARTS EIB";;7;86.33;23.20;10.000000;10.000000;10.000000;0.500000;;"Eibach, PARTS EIB, ";;"Eibach, PARTS EIB, ";eibach-parts-eib
Eibach;Eibach;"PARTS FOR";;7;31.00;15.50;10.000000;10.000000;10.000000;0.100000;;"Eibach, PARTS FOR, ";;"Eibach, PARTS FOR, ";eibach-parts-for
