Supplier;Manufacturer;SKU;Name;VAT;Price;Purchase;Width;Height;Depth;Weight;Discount;Tags;"Meta title";"Meta Tags";URL
"Filtration Control LTD";Pipercross;PK165;;7;57.03;22.81;43.000000;26.000000;6.000000;0.500000;;"Pipercross, PK165, ";;"Pipercross, PK165, ";pipercross-pk165
"Filtration Control LTD";Pipercross;C9003;;7;22.29;7.24;17.000000;14.000000;14.000000;3.000000;;"Pipercross, C9003, ";;"Pipercross, C9003, ";pipercross-c9003
"Filtration Control LTD";Pipercross;PK468;;7;708.00;317.35;60.000000;40.000000;30.000000;5.000000;;"Pipercross, PK468, ";;"Pipercross, PK468, ";pipercross-pk468
