Supplier;Manufacturer;SKU;Name;VAT;Price;Purchase;Width;Height;Depth;Weight;Discount;Tags;"Meta title";"Meta Tags";URL
;HKS;50003-M45-HL-3;;7;53.47;36.36;9.000000;8.000000;2.000000;0.260000;;"HKS, 50003-M45-HL-3, ";;"HKS, 50003-M45-HL-3, ";hks-50003-m45-hl-3
;HKS;45003-AK009;;7;339.83;257.60;28.000000;19.000000;7.000000;1.000000;;"HKS, 45003-AK009, ";;"HKS, 45003-AK009, ";hks-45003-ak009
;HKS;41003-RF002;;7;13.81;9.66;20.000000;10.000000;6.000000;0.200000;;"HKS, 41003-XXX-Z, 41003-RF002";;"HKS, 41003-XXX-Z, 41003-RF002";hks-41003-rf002
;HKS;41003-RN002;;7;13.81;7.35;20.000000;10.000000;6.000000;0.200000;;"HKS, 41003-XXX-Z, 41003-RN002";;"HKS, 41003-XXX-Z, 41003-RN002";hks-41003-rn002
;HKS;41003-RM004;;7;13.81;9.66;20.000000;10.000000;6.000000;0.200000;;"HKS, 41003-XXX-Z, 41003-RM004";;"HKS, 41003-XXX-Z, 41003-RM004";hks-41003-rm004
;HKS;41003-RF001;;7;13.81;9.66;20.000000;10.000000;6.000000;0.200000;;"HKS, 41003-XXX-Z, 41003-RF001";;"HKS, 41003-XXX-Z, 41003-RF001";hks-41003-rf001
;HKS;41003-RM006;;7;13.81;7.35;20.000000;10.000000;6.000000;0.200000;;"HKS, 41003-XXX-Z, 41003-RM006";;"HKS, 41003-XXX-Z, 41003-RM006";hks-41003-rm006
;HKS;50003-M50-HL-6;;7;113.81;74.86;10.000000;8.000000;5.000000;0.400000;;"HKS, 50003-M50-HL-6, ";;"HKS, 50003-M50-HL-6, ";hks-50003-m50-hl-6
;HKS;50003-M50-HL-4;;7;76.41;49.91;10.000000;10.000000;2.000000;0.300000;;"HKS, 50003-M50-HL-4, ";;"HKS, 50003-M50-HL-4, ";hks-50003-m50-hl-4
;HKS;50003-M45-XL-4;;7;79.67;49.91;10.000000;8.000000;2.000000;0.300000;;"HKS, 50003-M45-XL-4, ";;"HKS, 50003-M45-XL-4, ";hks-50003-m45-xl-4
;HKS;11003-AN015;;7;9512.19;7503.75;130.000000;37.000000;56.000000;51.000000;;"HKS, 11003-AN015, ";;"HKS, 11003-AN015, ";hks-11003-an015
;HKS;44004-AK003;;7;126.01;96.60;13.000000;13.000000;12.000000;0.620000;;"HKS, 44004-AK003, ";;"HKS, 44004-AK003, ";hks-44004-ak003
;HKS;15004-AN024;;7;828.00;621.00;48.000000;36.000000;30.000000;6.360000;;"HKS, 15004-AN024, ";;"HKS, 15004-AN024, ";hks-15004-an024
;HKS;44004-AK005;;7;109.75;83.72;12.000000;13.000000;12.000000;0.700000;;"HKS, 44004-AK005, ";;"HKS, 44004-AK005, ";hks-44004-ak005
