Supplier;Manufacturer;SKU;Name;VAT;Price;Purchase;Width;Height;Depth;Weight;Discount;Tags;"Meta title";"Meta Tags";URL
DINAN;Dinan;D650-0003-6;;7;170.72;120.80;50.000000;20.000000;15.000000;2.400000;;"Dinan, D650-0003-6, ";;"Dinan, D650-0003-6, ";dinan-d650-0003-6
DINAN;Dinan;D650-0004-6;;7;170.72;120.80;50.000000;20.000000;15.000000;2.400000;;"Dinan, D650-0004-6, ";;"Dinan, D650-0004-6, ";dinan-d650-0004-6
DINAN;Dinan;D650-0003-4;;7;113.81;80.53;22.000000;22.000000;22.000000;1.650000;;"Dinan, D650-0003-4, ";;"Dinan, D650-0003-4, ";dinan-d650-0003-4
DINAN;Dinan;D650-0004-4;;7;113.81;80.53;22.000000;22.000000;22.000000;1.650000;;"Dinan, D650-0004-4, ";;"Dinan, D650-0004-4, ";dinan-d650-0004-4
DINAN;Dinan;D650-0004-8;;7;227.63;161.06;35.000000;15.000000;19.000000;2.380000;;"Dinan, D650-0004-8, ";;"Dinan, D650-0004-8, ";dinan-d650-0004-8
DINAN;Dinan;D650-0003-8;;7;227.63;161.06;47.000000;37.000000;14.000000;3.400000;;"Dinan, D650-0003-8, ";;"Dinan, D650-0003-8, ";dinan-d650-0003-8
DINAN;Dinan;D650-0009-4;;7;148.10;95.63;22.000000;22.000000;22.000000;1.650000;;"Dinan, D650-0009-4, ";;"Dinan, D650-0009-4, ";dinan-d650-0009-4
DINAN;Dinan;D650-0010-4;;7;121.94;85.36;22.000000;22.000000;22.000000;1.650000;;"Dinan, D650-0010-4, ";;"Dinan, D650-0010-4, ";dinan-d650-0010-4
DINAN;Dinan;D650-0009-6;;7;222.15;143.45;50.000000;20.000000;15.000000;2.400000;;"Dinan, D650-0009-6, ";;"Dinan, D650-0009-6, ";dinan-d650-0009-6
DINAN;Dinan;D650-0010-6;;7;182.92;128.04;50.000000;20.000000;15.000000;2.400000;;"Dinan, D650-0010-6, ";;"Dinan, D650-0010-6, ";dinan-d650-0010-6
DINAN;Dinan;D640-0001-6;;7;117.07;75.41;10.000000;8.000000;5.000000;0.380000;;"Dinan, D640-0001-6, ";;"Dinan, D640-0001-6, ";dinan-d640-0001-6
DINAN;Dinan;D640-0002-6;;7;117.07;75.41;10.000000;8.000000;5.000000;0.380000;;"Dinan, D640-0002-6, ";;"Dinan, D640-0002-6, ";dinan-d640-0002-6
