Supplier;Manufacturer;SKU;Name;VAT;Price;Purchase;Width;Height;Depth;Weight;Discount;Tags;"Meta title";"Meta Tags";URL
"Drakos Engineering";ZRP;R-BMW-018-1;;7;154.00;77.00;10.000000;10.000000;10.000000;0.500000;;"ZRP, R-BMW-018-1, ";;"ZRP, R-BMW-018-1, ";zrp-r-bmw-018-1
"Drakos Engineering";ZRP;R-VW-008-I;;7;538.00;269.00;50.000000;20.000000;15.000000;5.000000;;"ZRP, R-VW-008-I, ";;"ZRP, R-VW-008-I, ";zrp-r-vw-008-i
"Drakos Engineering";ZRP;R-VW-008-I-5;;7;672.50;336.25;47.000000;37.000000;17.000000;4.000000;;"ZRP, R-VW-008-I-5, ";;"ZRP, R-VW-008-I-5, ";zrp-r-vw-008-i-5
