Supplier;Manufacturer;SKU;Name;VAT;Price;Purchase;Width;Height;Depth;Weight;Discount;Tags;"Meta title";"Meta Tags";URL
;;"C5 720 01";;7;1290.00;1032.00;61.000000;43.000000;16.000000;10.120000;;", C5 720 01, ";;", C5 720 01, ";c5-720-01
;;"F5 090 31 ";;7;1190.00;952.00;61.000000;43.000000;17.000000;9.220000;;", F5 090 31 , ";;", F5 090 31 , ";f5-090-31
;;"C6 720 22";;7;370.73;304.00;50.000000;20.000000;15.000000;2.000000;;", C6 720 22, ";;", C6 720 22, ";c6-720-22
;;"F5 458 03";;7;1087.50;870.00;61.000000;43.000000;16.000000;8.700000;;", F5 458 03, ";;", F5 458 03, ";f5-458-03
